GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
CANO_solar_photovoltaic_1,2030,Solar Photovoltaic,CANO,Solar,6326.1,0,.,0,1.43115e+08
CANO_solar_photovoltaic_1,2040,Solar Photovoltaic,CANO,Solar,6307.6,0,.,0,1.42697e+08
CANO_solar_photovoltaic_1,2050,Solar Photovoltaic,CANO,Solar,3036.7,0,.,0,6.86993e+07
CASO_batteries_1,2030,Batteries,CASO,Electricity,8979.8,0,34202.7,0,5.59891e+07
CASO_batteries_1,2040,Batteries,CASO,Electricity,95,0,380,0,592325
CASO_batteries_1,2050,Batteries,CASO,Electricity,0,0,0,0,0
CASO_biomass_1,2030,Biomass,CASO,Waste_biomass,271.4,0,.,0,4.09407e+07
CASO_biomass_1,2040,Biomass,CASO,Waste_biomass,223.4,0,.,0,3.36999e+07
CASO_biomass_1,2050,Biomass,CASO,Waste_biomass,151.8,0,.,0,2.2899e+07
CASO_biomass_2,2030,Biomass,CASO,Waste_biomass,35.4,0,.,0,5.34009e+06
CASO_biomass_2,2040,Biomass,CASO,Waste_biomass,25.4,0,.,0,3.83159e+06
CASO_biomass_2,2050,Biomass,CASO,Waste_biomass,22.4,0,.,0,3.37904e+06
CASO_conventional_hydroelectric_1,2030,Conventional Hydroelectric,CASO,Water,971,0,.,0,4.56836e+07
CASO_conventional_hydroelectric_1,2040,Conventional Hydroelectric,CASO,Water,955,0,.,0,4.49308e+07
CASO_conventional_hydroelectric_1,2050,Conventional Hydroelectric,CASO,Water,919,0,.,0,4.32371e+07
CASO_geothermal_1,2030,Geothermal,CASO,Heat,44.4,0,.,0,9.28408e+06
CASO_geothermal_1,2040,Geothermal,CASO,Heat,44.4,0,.,0,9.28408e+06
CASO_geothermal_1,2050,Geothermal,CASO,Heat,44.4,0,.,0,9.28408e+06
CASO_hydroelectric_pumped_storage_1,2030,Hydroelectric Pumped Storage,CASO,Electricity,1665,0,25807.5,0,7.83349e+07
CASO_hydroelectric_pumped_storage_1,2040,Hydroelectric Pumped Storage,CASO,Electricity,1665,0,25807.5,0,7.83349e+07
CASO_hydroelectric_pumped_storage_1,2050,Hydroelectric Pumped Storage,CASO,Electricity,1665,0,25807.5,0,7.83349e+07
CASO_natural_gas_fired_combined_cycle_1,2030,Natural Gas Fired Combined Cycle,CASO,Naturalgas,2248.9,0,.,0,3.70889e+07
CASO_natural_gas_fired_combined_cycle_1,2040,Natural Gas Fired Combined Cycle,CASO,Naturalgas,2130.9,0,.,0,3.51428e+07
CASO_natural_gas_fired_combined_cycle_1,2050,Natural Gas Fired Combined Cycle,CASO,Naturalgas,1347.8,0,.,0,2.22279e+07
CASO_natural_gas_fired_combined_cycle_2,2030,Natural Gas Fired Combined Cycle,CASO,Naturalgas,7458.1,0,.,0,7.58174e+07
