TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
18-20,2030,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.000000476444,3203.4000004526215,91157505.61892356
18-20,2040,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.0000009908845,3203.4000009413403,91157505.63283077
18-20,2050,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.000001612088,3203.4000015314837,91157505.64962418
18-8,2030,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,6.447203115211546e-05,6.124842959450969e-05,3.2212532426076965
18-8,2040,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,0.013180775387203886,0.012521736617843691,658.5586757137723
18-8,2050,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,3891.5275774329516,3696.951198561304,194434634.73217797
20-8,2030,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,3011.4639907861874,2860.890791246878,134427061.87046617
20-8,2040,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,11100.114714913889,10545.108979168193,495491831.25429034
20-8,2050,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,27755.6438856161,26367.861691335293,1238968710.6609833
20-24,2030,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,1010.0000001079244,959.5000001025281,63825378.57688691
20-24,2040,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,2957.6165296062522,2809.7357031259394,186901974.91802594
20-24,2050,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,8610.823329091487,8180.282162636912,544147582.9497297
8-23,2030,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,891.0000009134035,846.4500008677333,50344848.69148434
8-23,2040,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,891.0000048181778,846.4500045772688,50344848.91211876
8-23,2050,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,10890.999996548822,10346.449996721381,615382431.3839669
8-22,2030,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.000000946912,3887.4000008995663,219413147.2002894
8-22,2040,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.000001085494,3887.4000010312193,219413147.20772016
8-22,2050,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000013978456,3887.4000013279533,219413147.22446847
23-21,2030,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000001125513,1330.0000001069236,96035395.18683614
23-21,2040,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000004543324,1330.0000004316157,96035395.2102812
23-21,2050,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000005328438,1330.0000005062016,96035395.21566683
23-22,2030,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.000000072455,3036.200000068832,197589437.2121681
23-22,2040,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.0000001162507,3036.200000110438,197589437.21487573
23-22,2050,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.000010274406,3036.2000097606856,197589437.8428933
21-14,2030,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1000.000000641199,950.000000609139,50825943.53806489
21-14,2040,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1000.0000006970522,950.0000006621996,50825943.54090369
21-14,2050,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,3224.7718147915275,3063.533224051951,163902070.07664338
21-16,2030,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000000116518,1158.0500000110692,91431908.93267995
21-16,2040,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000000174955,1158.0500000166207,91431908.93311827
21-16,2050,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000000506743,1158.0500000481406,91431908.93560687
21-22,2030,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.0000000217012,205.20000002061613,17442329.443790827
21-22,2040,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.0000000257962,205.20000002450638,17442329.444121506
21-22,2050,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,1164.1937660775293,1105.9840777736529,94010422.23283187
14-16,2030,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.00000000258,6583.500000002451,370739627.63938534
14-16,2040,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000000103414,6583.500000098243,370739627.64477974
14-16,2050,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000002294507,6583.500002179781,370739627.76199836
14-15,2030,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,1200.0000000164232,1140.000000015602,30642164.315767672
14-15,2040,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,10846.201844880432,10303.89175263641,276959249.2735501
14-15,2050,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,16815.717063184617,15974.931210025385,429391637.77542436
16-15,2030,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,3885.0000007299536,3690.7500006934556,209184419.23029992
16-15,2040,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,3885.0000033801207,3690.7500032111143,209184419.37299585
16-15,2050,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,13109.28767887792,12453.823294934024,705858102.7319846
16-22,2030,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.0000012866126,3166.3500012222817,177127690.91801798
16-22,2040,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.0000012989717,3166.350001234023,177127690.9186748
16-22,2050,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.0000014664083,3166.350001393088,177127690.92757297
15-12,2030,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,5871.513313976985,5577.937648278135,272377411.68155724
15-12,2040,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,7578.194160167882,7199.284452159487,351549728.3559274
15-12,2050,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,9339.022246696659,8872.071134361826,433233916.22674406
15-11,2030,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,1931.4762086146586,1834.9023981839257,117618459.42288026
15-11,2040,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,5980.537298204227,5681.5104332940155,364188583.0115305
15-11,2050,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,9164.994200665988,8706.744490632687,558108090.4305499
12-11,2030,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,10081.791265657543,9577.701702374665,958700358.3042856
12-11,2040,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,10451.664219176313,9929.081008217498,993872414.9082946
12-11,2050,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,10566.079538373404,10037.775561454733,1004752426.6660658
12-5,2030,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,5225.596091193038,4964.316286633386,325670377.5892438
12-5,2040,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,9358.6795470577,8890.745569704815,583253020.0647734
12-5,2050,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,11425.272941005478,10854.009293955203,712047561.2396451
11-5,2030,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,1428.260270151269,1356.8472566437054,179427384.81479326
11-5,2040,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,1428.2602708570407,1356.8472573141887,179427384.90345693
11-5,2050,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,1428.260271396986,1356.8472578271364,179427384.97128835
17-1,2030,RMRG,BASN,42,1478.968739910536,0.9042512408779786,0.95,3750.0000000966297,3562.500000091798,313532567.7328055
17-1,2040,RMRG,BASN,42,1478.968739910536,0.9042512408779786,0.95,3750.0000001105996,3562.5000001050694,313532567.7339735
17-1,2050,RMRG,BASN,42,1478.968739910536,0.9042512408779786,0.95,3750.0000002457837,3562.500000233494,313532567.74527603
17-10,2030,RMRG,NWPP,43,9335.734366692814,0.8681197287750245,0.95,400.0000000050073,380.0000000047569,38965561.757210284
17-10,2040,RMRG,NWPP,43,9335.734366692814,0.8681197287750245,0.95,3319.1838990279243,3153.224704076528,323334662.998729
17-10,2050,RMRG,NWPP,43,9335.734366692814,0.8681197287750245,0.95,8985.312905263323,8536.047260000156,875294412.2837844
17-24,2030,RMRG,SRSG,44,1451.9389962866967,0.87688689205424,0.95,614.0000000100225,583.3000000095213,39014725.88466416
17-24,2040,RMRG,SRSG,44,1451.9389962866967,0.87688689205424,0.95,1579.9478068360465,1500.950416494244,100392883.70485096
17-24,2050,RMRG,SRSG,44,1451.9389962866967,0.87688689205424,0.95,2656.966632892725,2524.1183012480888,168828704.99237248
1-10,2030,BASN,NWPP,45,2143.6820330805017,0.8618757136715577,0.95,3350.0000000014293,3182.500000001358,409147865.2564282
1-10,2040,BASN,NWPP,45,2143.6820330805017,0.8618757136715577,0.95,3350.0000000505256,3182.500000047999,409147865.26242447
1-10,2050,BASN,NWPP,45,2143.6820330805017,0.8618757136715577,0.95,3350.0000002338197,3182.5000002221286,409147865.28481084
1-2,2030,BASN,CANO,46,1613.3847128003597,0.8766048605148281,0.95,100.00000000127896,95.00000000121501,9960886.26320026
1-2,2040,BASN,CANO,46,1613.3847128003597,0.8766048605148281,0.95,100.00000000384901,95.00000000365655,9960886.26345626
1-2,2050,BASN,CANO,46,1613.3847128003597,0.8766048605148281,0.95,100.00000001273698,95.00000001210012,9960886.26434158
1-3,2030,BASN,CASO,47,1052.8154002870249,0.9106395181356858,0.95,5920.000000125243,5624.00000011898,457328251.4759929
1-3,2040,BASN,CASO,47,1052.8154002870249,0.9106395181356858,0.95,5920.000000515952,5624.000000490154,457328251.5061757
1-3,2050,BASN,CASO,47,1052.8154002870249,0.9106395181356858,0.95,5920.000000525638,5624.000000499355,457328251.506924
1-24,2030,BASN,SRSG,48,1196.8856954277987,0.8729281968055096,0.95,5385.0000001082135,5115.750000102803,475499122.84135425
1-24,2040,BASN,SRSG,48,1196.8856954277987,0.8729281968055096,0.95,5385.000000327117,5115.750000310761,475499122.8606836
1-24,2050,BASN,SRSG,48,1196.8856954277987,0.8729281968055096,0.95,5385.000000616054,5115.750000585252,475499122.886197
10-2,2030,NWPP,CANO,49,1302.6110658309303,0.901279622215585,0.95,3675.00000020261,3491.250000192479,307697768.7201148
10-2,2040,NWPP,CANO,49,1302.6110658309303,0.901279622215585,0.95,3675.000000386469,3491.2500003671453,307697768.7355088
10-2,2050,NWPP,CANO,49,1302.6110658309303,0.901279622215585,0.95,5858.9477368487405,5566.000350006303,490553781.10931504
10-3,2030,NWPP,CASO,50,1838.7215148883072,0.8790706842859054,0.95,2858.000000364979,2715.1000003467298,278053675.9026965
10-3,2040,NWPP,CASO,50,1838.7215148883072,0.8790706842859054,0.95,2858.000000389487,2715.1000003700124,278053675.90508085
10-3,2050,NWPP,CASO,50,1838.7215148883072,0.8790706842859054,0.95,2994.3229523557698,2844.6068047379813,291316481.32820576
2-3,2030,CANO,CASO,51,678.496525078502,0.9297057119885508,0.95,3675.000000278521,3491.2500002645947,221933289.92905387
2-3,2040,CANO,CASO,51,678.496525078502,0.9297057119885508,0.95,3675.0000003413074,3491.2500003242417,221933289.93284556
2-3,2050,CANO,CASO,51,678.496525078502,0.9297057119885508,0.95,3675.000000384084,3491.2500003648797,221933289.93542883
3-24,2030,CASO,SRSG,52,670.4280089248628,0.9097977063908045,0.95,4354.000000569242,4136.300000540779,234218109.80849394
3-24,2040,CASO,SRSG,52,670.4280089248628,0.9097977063908045,0.95,4354.00000245001,4136.300002327509,234218109.90966755
3-24,2050,CASO,SRSG,52,670.4280089248628,0.9097977063908045,0.95,9527.46896536918,9051.09551710072,512518551.22556496
