TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
17-10,2040,2919.183899022917
17-10,2050,5666.129006235399
17-24,2030,1.002251210141315e-08
17-24,2040,965.947806826024
17-24,2050,1077.0188260566788
1-10,2030,1.4290812715455957e-09
1-10,2040,4.909664714174887e-08
1-10,2050,1.8329395518637737e-07
1-2,2030,1.2789597918449846e-09
1-2,2040,2.5700446415859587e-09
1-2,2050,8.88796479623406e-09
1-3,2030,1.2524269202653707e-07
1-3,2040,3.907091203230095e-07
1-3,2050,9.686179092937549e-09
1-24,2030,1.0821329121976994e-07
1-24,2040,2.1890364548973187e-07
1-24,2050,2.8893750367447993e-07
10-2,2030,2.0260976614040806e-07
10-2,2040,1.8385906497811077e-07
10-2,2050,2183.9477364622717
10-3,2030,3.649789780681586e-07
10-3,2040,2.4507965267257813e-08
10-3,2050,136.32295196628274
2-3,2030,2.7852101998083284e-07
2-3,2040,6.278643427716229e-08
2-3,2050,4.277654766848311e-08
3-24,2030,5.692422340710335e-07
3-24,2040,1.8807673048605847e-06
3-24,2050,5173.468962919171
10-19,2030,1.4352451274614774e-05
10-19,2040,5.5996245890215995e-05
10-19,2050,0.0004158561345356943
10-9,2030,7.30980717136484e-08
10-9,2040,3.3727325406171933e-09
10-9,2050,1.0418598433906552e-08
17-19,2030,1185.2558851854692
17-19,2040,1451.272373401488
17-19,2050,1173.7575726239493
17-18,2030,1465.9201062136276
17-18,2040,1926.0204121326046
17-18,2050,4750.243193994867
24-25,2030,3.1004840237799236e-05
24-25,2040,3783.0000255855653
24-25,2050,2878.563265449089
