generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.74903209080666e-05,-1.1443733974775112,0.0,3.081077007635994e-05,3.498319072072779,1.2437383556724215,41.12093764118292,0.3250460037688913,,
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00016338036549906878,-2.1370151807278197,0.0,6.285655997005643e-05,6.682758777715372,2.44041115506334,42.76006318574866,0.2975340191078811,,
BASN_landbasedwind_class3_moderate_10,BASN_landbasedwind_class3_moderate_10,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00044280302145126494,-5.791863520582545,0.0,0.0001655070138532776,16.273705843577094,5.973769109972228,37.16237386780769,0.30625384307787,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2030,0.00011370115839687824,-1.4872111518311673,0.0,3.487397792789978e-05,4.485227302146717,1.4077578670155304,38.748717070696465,0.3732078547905695,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.0001242627086158518,-1.6253562286953418,0.0,4.685392491836041e-05,5.856628078409574,1.855113724665666,48.97998476111986,0.30358633083282993,,
BASN_landbasedwind_class3_moderate_11,BASN_landbasedwind_class3_moderate_11,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.0002547665055913683,-3.3323458931350975,0.0,9.438247268416139e-05,11.014699421500461,3.4910776036451803,43.85753577015388,0.30898568103141516,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2030,7.096051478246287e-05,-0.9281635333546144,0.0,2.9033755937370973e-05,2.905263998056132,1.172005625923854,44.37828699917548,0.2797698501976909,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00010431585132014595,-1.3644513352675092,0.0,5.0172161970808246e-05,4.721110165920933,1.961362920330439,50.979996651350945,0.23799885389965073,,
BASN_landbasedwind_class3_moderate_12,BASN_landbasedwind_class3_moderate_12,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.0002486072757778875,-3.251783167174769,0.0,0.00011629457163140722,10.008703170800835,4.237338574244967,44.22339830348974,0.2447043929719169,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.58790273565611e-05,-1.1232976778238193,0.0,2.8353731782002173e-05,3.8977013799022964,1.1445550908440818,45.633479017542136,0.34670832110488164,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.000253802126228666,-3.319731811070951,0.0,7.954859508462472e-05,10.20930615160014,3.056312106927731,39.187561567140136,0.3652162701085101,,
BASN_landbasedwind_class3_moderate_13,BASN_landbasedwind_class3_moderate_13,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.0012099611332693845,-15.826291623163547,0.0,0.0003615047328770836,43.294530728827475,12.761733508034293,33.24897925026279,0.38312880684718353,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.014889362071924e-05,-1.0483475285590076,0.0,2.949847002793328e-05,3.3609880237980496,1.1907647396175827,43.71121142901169,0.3110179216926097,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00013087691343375811,-1.7118700277135563,0.0,5.311936724873598e-05,5.717695880137192,2.0728279294649177,46.445577164113026,0.28203144054410134,,
BASN_landbasedwind_class3_moderate_14,BASN_landbasedwind_class3_moderate_14,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00033981434351208284,-4.444771613138044,0.0,0.00013395133607119235,13.302513607868798,4.855147597310256,40.35406348747435,0.2903902504666859,,
BASN_landbasedwind_class3_moderate_15,BASN_landbasedwind_class3_moderate_15,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.278833917211506e-05,-1.082871476371265,0.0,2.8488544746568555e-05,3.6318216081950188,1.1499970857847328,44.67956785457986,0.3326490440490713,,
BASN_landbasedwind_class3_moderate_15,BASN_landbasedwind_class3_moderate_15,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00011047164786871158,-1.4449691541227474,0.0,4.4391281975548795e-05,5.434046587498597,1.7438419261426052,51.894938385744545,0.28486593593987625,,
BASN_landbasedwind_class3_moderate_15,BASN_landbasedwind_class3_moderate_15,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00021683920364747367,-2.836256783708956,0.0,8.568204321329392e-05,9.868731487579954,3.165084732408953,47.028209220223076,0.2896912408130813,,
BASN_landbasedwind_class3_moderate_16,BASN_landbasedwind_class3_moderate_16,LandbasedWind_Class3_Moderate,BASN,Wind,2030,6.21537274029509e-05,-0.8129707544305979,0.0,2.3310920894584607e-05,2.908699006753573,0.9409919437516968,48.85821531486294,0.3052074446349287,,
BASN_landbasedwind_class3_moderate_16,BASN_landbasedwind_class3_moderate_16,LandbasedWind_Class3_Moderate,BASN,Wind,2040,8.730812037887521e-05,-1.141990214555688,0.0,3.771993992435013e-05,4.502702120437502,1.479057013271819,55.43320481704756,0.26495432969205496,,
BASN_landbasedwind_class3_moderate_16,BASN_landbasedwind_class3_moderate_16,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00018035909147245396,-2.3590969164596984,0.0,7.639443903739993e-05,8.551840293407533,2.8102430428687137,49.917009152774334,0.2702487335155453,,
BASN_landbasedwind_class3_moderate_17,BASN_landbasedwind_class3_moderate_17,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.696822410634252e-05,-1.13754437131096,0.0,2.8642818792670578e-05,3.8924529131018217,1.1562246662037332,44.971979687801394,0.3475619466919988,,
BASN_landbasedwind_class3_moderate_17,BASN_landbasedwind_class3_moderate_17,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.0003302783166446079,-4.320040381711472,0.0,9.971103839712288e-05,12.540317925404237,3.810107196344088,36.4249910870837,0.37916146971033077,,
BASN_landbasedwind_class3_moderate_17,BASN_landbasedwind_class3_moderate_17,LandbasedWind_Class3_Moderate,BASN,Wind,2050,4254.2782069579225,-55645958.94700962,0.0,1193.5141813212445,138128302.0452851,41083145.527228266,29.04499485327756,0.40802397081366115,,
BASN_landbasedwind_class3_moderate_18,BASN_landbasedwind_class3_moderate_18,LandbasedWind_Class3_Moderate,BASN,Wind,2030,6.881687342345322e-05,-0.9001247043787679,0.0,2.961788995352071e-05,2.8944748228180344,1.1955853637537706,46.35397284855268,0.26596727077594784,,
BASN_landbasedwind_class3_moderate_18,BASN_landbasedwind_class3_moderate_18,LandbasedWind_Class3_Moderate,BASN,Wind,2040,8.970579691436716e-05,-1.1733518236399223,0.0,4.637757208033715e-05,4.295152929050005,1.8214259799673298,55.104879009058905,0.22141134708980922,,
BASN_landbasedwind_class3_moderate_18,BASN_landbasedwind_class3_moderate_18,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.0002091418313138507,-2.735575153585167,0.0,0.00010504912333397013,8.8499018088721,3.8409280013204743,47.600494812861996,0.2278955519440651,,
BASN_landbasedwind_class3_moderate_19,BASN_landbasedwind_class3_moderate_19,LandbasedWind_Class3_Moderate,BASN,Wind,2030,6.0378918708041036e-05,-0.7897562567011767,0.0,2.4821033158736124e-05,2.724685827891338,1.001950645518701,48.64082165681017,0.27845360900840377,,
BASN_landbasedwind_class3_moderate_19,BASN_landbasedwind_class3_moderate_19,LandbasedWind_Class3_Moderate,BASN,Wind,2040,9.663607301466844e-05,-1.2639998350318633,0.0,4.423129093115353e-05,4.58054384376447,1.7267746913989308,52.18877943608087,0.2500904068555723,,
BASN_landbasedwind_class3_moderate_19,BASN_landbasedwind_class3_moderate_19,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00022545877298823952,-2.949000750686173,0.0,0.00010044718544872907,9.621891127510935,3.661758208412766,45.838307590614846,0.25693113861991057,,
BASN_landbasedwind_class3_moderate_2,BASN_landbasedwind_class3_moderate_2,LandbasedWind_Class3_Moderate,BASN,Wind,2030,5582.255628397916,-73015903.61944473,0.0,1229.9849997707058,144619778.18812457,49650804.48574408,21.72144866271979,0.5195140290952803,,
BASN_landbasedwind_class3_moderate_2,BASN_landbasedwind_class3_moderate_2,LandbasedWind_Class3_Moderate,BASN,Wind,2040,5399.611245937429,-70626915.09686157,0.0,1229.9849999049225,144619778.20271376,49650804.49074116,22.89862398698066,0.5025161834847953,,
BASN_landbasedwind_class3_moderate_2,BASN_landbasedwind_class3_moderate_2,LandbasedWind_Class3_Moderate,BASN,Wind,2050,5399.611192625987,-70626914.39954792,0.0,1229.9849999253236,144619778.20755675,49650804.4913336,22.89862434321145,0.5025161785150175,,
BASN_landbasedwind_class3_moderate_20,BASN_landbasedwind_class3_moderate_20,LandbasedWind_Class3_Moderate,BASN,Wind,2030,5.7697257344762226e-05,-0.7546801260694899,0.0,2.5687626236796506e-05,2.640068629423398,1.0369324083007645,50.649217070973336,0.25710976445780115,,
BASN_landbasedwind_class3_moderate_20,BASN_landbasedwind_class3_moderate_20,LandbasedWind_Class3_Moderate,BASN,Wind,2040,7.58326882997828e-05,-0.9918915629611589,0.0,3.988144479900972e-05,3.8979943982109395,1.5669587636573805,58.98592940849195,0.21765715266947963,,
BASN_landbasedwind_class3_moderate_20,BASN_landbasedwind_class3_moderate_20,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00016466979847791803,-2.1538809640911682,0.0,8.456656261751584e-05,7.593085728560334,3.105020404725462,51.88702025611817,0.22289619278175327,,
BASN_landbasedwind_class3_moderate_21,BASN_landbasedwind_class3_moderate_21,LandbasedWind_Class3_Moderate,BASN,Wind,2030,6.254554725632671e-05,-0.8180957581127534,0.0,2.4820607502473863e-05,2.9507652057268556,1.0019334630523624,50.11712341120155,0.288450545430922,,
BASN_landbasedwind_class3_moderate_21,BASN_landbasedwind_class3_moderate_21,LandbasedWind_Class3_Moderate,BASN,Wind,2040,9.204188432354547e-05,-1.2039078469519746,0.0,4.146689659724104e-05,4.694090409683295,1.6235426488833498,55.55867580501626,0.25408050388781267,,
BASN_landbasedwind_class3_moderate_21,BASN_landbasedwind_class3_moderate_21,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00019290897415059316,-2.5232493818897583,0.0,8.512220794840408e-05,9.00708164335753,3.1261738719734673,49.816273067417015,0.25941610008820193,,
BASN_landbasedwind_class3_moderate_22,BASN_landbasedwind_class3_moderate_22,LandbasedWind_Class3_Moderate,BASN,Wind,2030,5.825151184881898e-05,-0.7619297749825522,0.0,2.1670710306429137e-05,2.977851236135917,0.874781562939625,53.05790229297975,0.3076957017394439,,
BASN_landbasedwind_class3_moderate_22,BASN_landbasedwind_class3_moderate_22,LandbasedWind_Class3_Moderate,BASN,Wind,2040,6.573868427872833e-05,-0.8598619903657665,0.0,2.981697069836377e-05,3.9822620672791267,1.1789759084215614,65.43142797165409,0.252374146830287,,
BASN_landbasedwind_class3_moderate_22,BASN_landbasedwind_class3_moderate_22,LandbasedWind_Class3_Moderate,BASN,Wind,2050,0.00012997671796310622,-1.7000954709574296,0.0,5.788346858960361e-05,7.275770156654993,2.1450234427169392,59.400623814843634,0.25703862735169436,,
BASN_landbasedwind_class3_moderate_23,BASN_landbasedwind_class3_moderate_23,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8.414874164138346e-05,-1.1006655406692958,0.0,2.9063594516260247e-05,3.7389116072243223,1.1732101198378773,45.29427430580222,0.33142531274939024,,
BASN_landbasedwind_class3_moderate_23,BASN_landbasedwind_class3_moderate_23,LandbasedWind_Class3_Moderate,BASN,Wind,2040,0.00032013145879190825,-4.18731948099816,0.0,0.00010261641099559599,12.15689452458922,3.9198742042717107,37.13927176270155,0.35710744717278725,,
