GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
MISE_hydrogen_ctavgcf_moderate_0,2040,Hydrogen_CTAvgCF_Moderate,MISE,Hydrogen,5.48064e-06,.,5.18927
MISE_hydrogen_ctavgcf_moderate_0,2050,Hydrogen_CTAvgCF_Moderate,MISE,Hydrogen,2.10101e-05,.,18.8914
MISE_hydrogen_ccavgcf_moderate_0,2030,Hydrogen_CCAvgCF_Moderate,MISE,Hydrogen,4.30466e-06,.,4.96643
MISE_hydrogen_ccavgcf_moderate_0,2040,Hydrogen_CCAvgCF_Moderate,MISE,Hydrogen,3.94198e-06,.,4.34644
MISE_hydrogen_ccavgcf_moderate_0,2050,Hydrogen_CCAvgCF_Moderate,MISE,Hydrogen,1.22259e-05,.,12.9373
MISE_landbasedwind_class3_moderate_0,2030,LandbasedWind_Class3_Moderate,MISE,Wind,9.52894e-05,.,143.972
MISE_landbasedwind_class3_moderate_0,2040,LandbasedWind_Class3_Moderate,MISE,Wind,820.564,.,1.02553e+09
MISE_landbasedwind_class3_moderate_0,2050,LandbasedWind_Class3_Moderate,MISE,Wind,1.10814e-07,.,0.126376
MISE_landbasedwind_class3_moderate_1,2030,LandbasedWind_Class3_Moderate,MISE,Wind,0.00101702,.,1603.44
MISE_landbasedwind_class3_moderate_1,2040,LandbasedWind_Class3_Moderate,MISE,Wind,469.394,.,6.17492e+08
MISE_landbasedwind_class3_moderate_1,2050,LandbasedWind_Class3_Moderate,MISE,Wind,9.92149e-08,.,0.119668
MISE_landbasedwind_class3_moderate_2,2030,LandbasedWind_Class3_Moderate,MISE,Wind,6.28839e-05,.,92.187
MISE_landbasedwind_class3_moderate_2,2040,LandbasedWind_Class3_Moderate,MISE,Wind,240.435,.,2.89697e+08
MISE_landbasedwind_class3_moderate_2,2050,LandbasedWind_Class3_Moderate,MISE,Wind,1.4634e-07,.,0.16032
MISE_landbasedwind_class3_moderate_3,2030,LandbasedWind_Class3_Moderate,MISE,Wind,3.64919e-05,.,63.2854
MISE_landbasedwind_class3_moderate_3,2040,LandbasedWind_Class3_Moderate,MISE,Wind,544.961,.,8.02798e+08
MISE_landbasedwind_class3_moderate_3,2050,LandbasedWind_Class3_Moderate,MISE,Wind,1.53376e-07,.,0.20917
MISE_landbasedwind_class3_moderate_4,2030,LandbasedWind_Class3_Moderate,MISE,Wind,4.73045e-05,.,74.3547
MISE_landbasedwind_class3_moderate_4,2040,LandbasedWind_Class3_Moderate,MISE,Wind,842.535,.,1.10434e+09
MISE_landbasedwind_class3_moderate_4,2050,LandbasedWind_Class3_Moderate,MISE,Wind,1.65791e-07,.,0.199177
MISE_landbasedwind_class3_moderate_5,2030,LandbasedWind_Class3_Moderate,MISE,Wind,4.61675e-05,.,67.5803
MISE_landbasedwind_class3_moderate_5,2040,LandbasedWind_Class3_Moderate,MISE,Wind,143.168,.,1.72189e+08
MISE_landbasedwind_class3_moderate_5,2050,LandbasedWind_Class3_Moderate,MISE,Wind,2.02187e-07,.,0.221061
MISE_landbasedwind_class3_moderate_6,2030,LandbasedWind_Class3_Moderate,MISE,Wind,2.78312e-05,.,55.3306
MISE_landbasedwind_class3_moderate_6,2040,LandbasedWind_Class3_Moderate,MISE,Wind,557.888,.,9.63462e+08
MISE_landbasedwind_class3_moderate_6,2050,LandbasedWind_Class3_Moderate,MISE,Wind,2.05769e-07,.,0.332857
MISE_landbasedwind_class3_moderate_7,2030,LandbasedWind_Class3_Moderate,MISE,Wind,3.31516e-05,.,53.7987
MISE_landbasedwind_class3_moderate_7,2040,LandbasedWind_Class3_Moderate,MISE,Wind,392.816,.,5.349e+08
MISE_landbasedwind_class3_moderate_7,2050,LandbasedWind_Class3_Moderate,MISE,Wind,2.34739e-06,.,2.93976
MISE_landbasedwind_class3_moderate_8,2030,LandbasedWind_Class3_Moderate,MISE,Wind,3.12701e-05,.,53.6568
MISE_landbasedwind_class3_moderate_8,2040,LandbasedWind_Class3_Moderate,MISE,Wind,570.679,.,8.30231e+08
MISE_landbasedwind_class3_moderate_8,2050,LandbasedWind_Class3_Moderate,MISE,Wind,2.76701e-07,.,0.372289
MISE_landbasedwind_class3_moderate_9,2030,LandbasedWind_Class3_Moderate,MISE,Wind,2.07194e-05,.,38.8395
MISE_landbasedwind_class3_moderate_9,2040,LandbasedWind_Class3_Moderate,MISE,Wind,8.7833e-05,.,141.714
MISE_landbasedwind_class3_moderate_9,2050,LandbasedWind_Class3_Moderate,MISE,Wind,0.00030119,.,453.017
MISE_landbasedwind_class3_moderate_10,2030,LandbasedWind_Class3_Moderate,MISE,Wind,2.08349e-05,.,42.5269
MISE_landbasedwind_class3_moderate_10,2040,LandbasedWind_Class3_Moderate,MISE,Wind,0.000196489,.,349.757
MISE_landbasedwind_class3_moderate_10,2050,LandbasedWind_Class3_Moderate,MISE,Wind,0.00194006,.,3241.22
MISE_landbasedwind_class3_moderate_11,2030,LandbasedWind_Class3_Moderate,MISE,Wind,2.31438e-05,.,48.501
MISE_landbasedwind_class3_moderate_11,2040,LandbasedWind_Class3_Moderate,MISE,Wind,0.000215747,.,395.795
MISE_landbasedwind_class3_moderate_11,2050,LandbasedWind_Class3_Moderate,MISE,Wind,368.854,.,6.36339e+08
MISE_utilitypv_class1_moderate_0,2030,UtilityPV_Class1_Moderate,MISE,Solar,0.00015597,.,158.304
MISE_utilitypv_class1_moderate_0,2040,UtilityPV_Class1_Moderate,MISE,Solar,9284.34,.,7.58527e+09
MISE_utilitypv_class1_moderate_0,2050,UtilityPV_Class1_Moderate,MISE,Solar,0.000155316,.,116.368
MISE_utilitypv_class1_moderate_1,2030,UtilityPV_Class1_Moderate,MISE,Solar,0.000125936,.,128.157
MISE_utilitypv_class1_moderate_1,2040,UtilityPV_Class1_Moderate,MISE,Solar,10774,.,8.8311e+09
MISE_utilitypv_class1_moderate_1,2050,UtilityPV_Class1_Moderate,MISE,Solar,1.85517e-05,.,13.9491
MISE_utilitypv_class1_moderate_2,2030,UtilityPV_Class1_Moderate,MISE,Solar,6.80794e-05,.,73.6875
MISE_utilitypv_class1_moderate_2,2040,UtilityPV_Class1_Moderate,MISE,Solar,6.37366e-05,.,56.3692
MISE_utilitypv_class1_moderate_2,2050,UtilityPV_Class1_Moderate,MISE,Solar,0.000313585,.,256.089
MISE_utilitypv_class1_moderate_3,2030,UtilityPV_Class1_Moderate,MISE,Solar,6.12072e-05,.,67.3593
MISE_utilitypv_class1_moderate_3,2040,UtilityPV_Class1_Moderate,MISE,Solar,0.000101496,.,91.6048
MISE_utilitypv_class1_moderate_3,2050,UtilityPV_Class1_Moderate,MISE,Solar,0.00052682,.,439.781
MISE_utilitypv_class1_moderate_4,2030,UtilityPV_Class1_Moderate,MISE,Solar,5.39615e-05,.,60.8158
MISE_utilitypv_class1_moderate_4,2040,UtilityPV_Class1_Moderate,MISE,Solar,3.6925e-05,.,34.3053
MISE_utilitypv_class1_moderate_4,2050,UtilityPV_Class1_Moderate,MISE,Solar,0.000128309,.,110.512
MISE_utilitypv_class1_moderate_5,2030,UtilityPV_Class1_Moderate,MISE,Solar,4.77349e-05,.,55.2877
MISE_utilitypv_class1_moderate_5,2040,UtilityPV_Class1_Moderate,MISE,Solar,4.84077e-05,.,46.4838
MISE_utilitypv_class1_moderate_5,2050,UtilityPV_Class1_Moderate,MISE,Solar,0.000133613,.,119.25
MISE_utilitypv_class1_moderate_6,2030,UtilityPV_Class1_Moderate,MISE,Solar,3.90234e-05,.,45.2633
MISE_utilitypv_class1_moderate_6,2040,UtilityPV_Class1_Moderate,MISE,Solar,3.42954e-05,.,32.99
MISE_utilitypv_class1_moderate_6,2050,UtilityPV_Class1_Moderate,MISE,Solar,8.81547e-05,.,78.8258
MISE_utilitypv_class1_moderate_7,2030,UtilityPV_Class1_Moderate,MISE,Solar,4.4492e-05,.,53.0556
MISE_utilitypv_class1_moderate_7,2040,UtilityPV_Class1_Moderate,MISE,Solar,3.32758e-05,.,33.0931
MISE_utilitypv_class1_moderate_7,2050,UtilityPV_Class1_Moderate,MISE,Solar,8.85943e-05,.,82.1045
MISE_utilitypv_class1_moderate_8,2030,UtilityPV_Class1_Moderate,MISE,Solar,4.01464e-05,.,49.1073
MISE_utilitypv_class1_moderate_8,2040,UtilityPV_Class1_Moderate,MISE,Solar,2.6613e-05,.,27.2847
MISE_utilitypv_class1_moderate_8,2050,UtilityPV_Class1_Moderate,MISE,Solar,6.9138e-05,.,66.1981
MISE_utilitypv_class1_moderate_9,2030,UtilityPV_Class1_Moderate,MISE,Solar,4.14792e-05,.,49.0603
MISE_utilitypv_class1_moderate_9,2040,UtilityPV_Class1_Moderate,MISE,Solar,2.35032e-05,.,23.146
MISE_utilitypv_class1_moderate_9,2050,UtilityPV_Class1_Moderate,MISE,Solar,6.95265e-05,.,63.7587
MISE_offshorewind_class3_moderate_fixed_0_1,2030,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,7.58743e-06,.,21.1169
MISE_offshorewind_class3_moderate_fixed_0_1,2040,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,1.04498e-05,.,27.077
MISE_offshorewind_class3_moderate_fixed_0_1,2050,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,9.81087e-08,.,0.371057
MISE_offshorewind_class3_moderate_fixed_0_2,2030,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,7.48205e-06,.,22.3417
MISE_offshorewind_class3_moderate_fixed_0_2,2040,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,1.11235e-05,.,31.0797
MISE_offshorewind_class3_moderate_fixed_0_2,2050,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,1.69512e-07,.,0.675503
MISE_offshorewind_class3_moderate_fixed_0_3,2030,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,7.00871e-06,.,23.1178
MISE_offshorewind_class3_moderate_fixed_0_3,2040,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,9.08342e-06,.,28.2172
MISE_offshorewind_class3_moderate_fixed_0_3,2050,OffShoreWind_Class3_Moderate_fixed_0,MISE,Wind,1.76272e-07,.,0.757509
MISE_offshorewind_class12_moderate_floating_0_1,2030,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,3.74446e-06,.,15.1761
MISE_offshorewind_class12_moderate_floating_0_1,2040,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,5.58137e-06,.,20.995
MISE_offshorewind_class12_moderate_floating_0_1,2050,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,2.46253e-08,.,0.13982
MISE_offshorewind_class12_moderate_floating_0_2,2030,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,3.42215e-06,.,14.4324
MISE_offshorewind_class12_moderate_floating_0_2,2040,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,4.86564e-06,.,19.1027
