TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
7-6,2040,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,176.63361008147564,167.80192957740184,10539161.0520989
7-6,2050,MISE,MISC,10,993.3851724175372,0.9259966673153565,0.95,1048.2509486562906,995.838401223476,62545772.380512096
7-16,2030,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.000001032386,2528.9000009807664,137883556.46182477
7-16,2040,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.000001276399,2528.900001212579,137883556.4744639
7-16,2050,MISE,PJMW,11,672.2944948093907,0.9124339212689138,0.95,2662.0000047082103,2528.9000044727995,137883556.65222138
13-6,2030,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000001194468,4981.800001134744,191091551.11359233
13-6,2040,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000002266544,4981.800002153216,191091551.1526588
13-6,2050,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.00000510866,4981.800004853227,191091551.25622562
13-16,2030,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,980.0000020896317,931.0000019851501,36139853.03318776
13-16,2040,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,980.0000201773273,931.0000191684609,36139853.70021497
13-16,2050,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,4340.024359358689,4123.023141390755,160048818.54411715
6-19,2030,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,6.882604322484693e-05,6.538474106360457e-05,3.5933269763766726
6-19,2040,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,0.0029787369578671585,0.0028298001099738004,155.5163621896274
6-19,2050,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,0.002979554693469357,0.002830576958795889,155.55905520612586
6-18,2030,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,1430.00000238273,1358.5000022635934,59848086.23626681
6-18,2040,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,1801.7983186199663,1711.708402688968,75408518.16325185
6-18,2050,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,4805.829551979551,4565.538074380574,201132658.03106773
6-20,2030,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,1172.0000007939404,1113.4000007542434,68330721.82467048
6-20,2040,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,1172.0000015917822,1113.400001512193,68330721.87118678
6-20,2050,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,3230.1685653898826,3068.6601371203883,188327431.34721008
6-8,2030,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.00000023593,987.0500002241334,69279036.62527597
6-8,2040,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.0000005873458,987.0500005579785,69279036.64870788
6-8,2050,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.0000006534792,987.0500006208052,69279036.65311757
6-16,2030,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,5441.000002143256,5168.950002036093,279631044.4760571
6-16,2040,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,5441.000012129922,5168.950011523425,279631044.98930496
6-16,2050,MISC,PJMW,18,636.7767278564246,0.8808216794997143,0.95,5441.000016169846,5168.9500153613535,279631045.1969301
6-22,2030,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.0000016385948,3557.7500015566648,218469302.6292609
6-22,2040,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.0000027131923,3557.7500025775325,218469302.6919489
6-22,2050,MISC,SRCE,19,807.5788459671032,0.8994314050331473,0.95,3745.000004920119,3557.750004674113,218469302.82069275
19-18,2030,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1433.0000007888818,1361.3500007494376,22782829.89259827
19-18,2040,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1867.3654740260565,1773.9972003247535,29688674.05347238
19-18,2050,SPPN,SPPC,20,261.19343417595013,0.9805410901794434,0.95,1867.3654778487999,1773.9972039563597,29688674.114249013
19-20,2030,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,0.0001844830413453657,0.00017525888927809742,6.035550727168122
19-20,2040,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,2442.765583815104,2320.6273046243487,79917565.79996818
19-20,2050,SPPN,SPPS,21,679.4249275747745,0.9612727791748047,0.95,5299.868097250125,5034.874692387619,173390586.55461976
18-20,2030,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.0000016497443,3203.400001567257,91157505.65064217
18-20,2040,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3372.000003399619,3203.4000032296376,91157505.69794768
18-20,2050,SPPC,SPPS,22,455.0277413171593,0.9661004356079101,0.95,3701.3078273274177,3516.242435961047,100059901.84439261
18-8,2030,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,7.595514046012757e-05,7.215738343712119e-05,3.794990449775535
18-8,2040,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,0.0002205729209798198,0.0002095442749308288,11.020611949719564
18-8,2050,SPPC,MISS,23,1264.309793619994,0.9279343405761719,0.95,0.0007679159225395028,0.0007295201264125276,38.367825727315996
20-8,2030,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,1697.0000034202255,1612.1500032492143,75751436.89312293
20-8,2040,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,1884.9668197589876,1790.7184787710382,84141982.79600412
20-8,2050,SPPS,MISS,24,1083.4402589451677,0.9382468606952876,0.95,15301.901349062846,14536.806281609703,683053041.8692582
20-24,2030,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,1010.0000012801628,959.5000012161546,63825378.65096469
20-24,2040,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,5535.607880577312,5258.827486548446,349814127.3200911
20-24,2050,SPPS,SRSG,25,1530.6511537017682,0.8724003059946697,0.95,6252.287709365482,5939.673323897208,395103594.0388393
8-23,2030,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,891.0000004542854,846.4500004315711,50344848.665542446
8-23,2040,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,891.0000126290853,846.450011997631,50344849.353464395
8-23,2050,MISS,SRSE,26,825.7437764420143,0.9483456161651612,0.95,5721.874106127438,5435.780400821066,323307391.4808058
8-22,2030,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000010113354,3887.4000009607685,219413147.2037438
8-22,2040,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.0000021915193,3887.400002081943,219413147.26702526
8-22,2050,MISS,SRCE,27,910.5740119711644,0.943088938652119,0.95,4092.000003587302,3887.4000034079368,219413147.34186718
23-21,2030,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000004812323,1330.0000004571707,96035395.21212645
23-21,2040,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000006921343,1330.0000006575276,96035395.22659363
23-21,2050,SRSE,SRCA,28,750.9564568673487,0.8963313736775718,0.95,1400.0000118472208,1330.0000112548596,96035395.99179587
23-22,2030,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.000000425356,3036.2000004040883,197589437.23398584
23-22,2040,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.000000830451,3036.2000007889283,197589437.25903043
23-22,2050,SRSE,SRCE,29,808.9930595294763,0.9397319224320263,0.95,3196.0000024131436,3036.2000022924863,197589437.3568788
21-14,2030,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1000.0000005615225,950.0000005334463,50825943.53401526
21-14,2040,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,1000.0000019555965,950.0000018578166,50825943.60487039
21-14,2050,SRCA,PJMD,30,525.2547915890101,0.8886073669284953,0.95,2457.637441006542,2334.7555689562146,124911741.7335395
21-16,2030,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000004715462,1158.0500004479688,91431908.96717463
21-16,2040,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.0000007683493,1158.0500007299318,91431908.98943655
21-16,2050,SRCA,PJMW,31,900.2912298442393,0.8579852671144543,0.95,1219.000001853075,1158.050001760421,91431909.07079713
21-22,2030,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.00000003758566,205.20000003570638,17442329.445073523
21-22,2040,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.00000067494219,205.20000064119506,17442329.496541034
21-22,2050,SRCA,SRCE,32,1047.313910703395,0.8844974272974392,0.95,216.00001171476273,205.2000111290246,17442330.38802338
14-16,2030,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000001065854,6583.500001012561,370739627.69626814
14-16,2040,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000001159558,6583.50000110158,370739627.70128113
14-16,2050,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000002722435,6583.500002586313,370739627.78489155
14-15,2030,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,1200.0000009846885,1140.000000935454,30642164.34049246
14-15,2040,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,6599.910889650724,6269.915345168188,168529628.28944507
14-15,2050,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,7651.6844222095115,7269.100201099036,195386809.46211234
16-15,2030,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,3885.000000663023,3690.7500006298715,209184419.2266961
16-15,2040,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,3885.000002004175,3690.7500019039658,209184419.29890925
16-15,2050,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,9144.870211403024,8687.626700832872,492397519.6266111
16-22,2030,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.000000990113,3166.3500009406075,177127690.90226093
16-22,2040,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.00000574377,3166.3500054565816,177127691.15488747
16-22,2050,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.0000071039635,3166.3500067487653,177127691.22717306
15-12,2030,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,3480.295625553253,3306.2808442755904,161449674.67216015
