TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
14-16,2030,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.00000024901,6583.500000236559,370739627.65256876
14-16,2040,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.000000258641,6583.500000245709,370739627.65308404
14-16,2050,PJMD,PJMW,33,493.7545177764829,0.9012002265648081,0.95,6930.0000002837805,6583.5000002695915,370739627.65442896
14-15,2030,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,3221.589267906801,3060.509804511461,82263723.08646904
14-15,2040,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,14187.082629218085,13477.72849775718,362269097.5666035
14-15,2050,PJMD,PJME,34,139.26433395480618,0.9518681721217893,0.95,18760.651087377875,17822.61853300898,479055794.4019589
16-15,2030,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,8291.423314540238,7876.8521488132255,446444419.6444747
16-15,2040,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,16103.945653690298,15298.748371005782,867102836.1005335
16-15,2050,PJMW,PJME,35,482.9870637110516,0.9154459895476824,0.95,17208.62119480433,16348.190135064113,926583122.1912513
16-22,2030,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,3333.0000003548503,3166.3500003371078,177127690.86850074
16-22,2040,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,5655.917475519965,5373.1216017439665,300575938.21631926
16-22,2050,PJMW,SRCE,36,542.940224506259,0.8899235724886801,0.95,5822.765388582615,5531.627119153484,309442840.57571596
15-12,2030,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,5237.299944284652,4975.434947070419,242956479.31657046
15-12,2040,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,5237.299944658005,4975.434947425105,242956479.33389017
15-12,2050,PJME,NYUP,37,316.61636032760543,0.9174623308644391,0.95,5237.299944716114,4975.4349474803075,242956479.33658582
15-11,2030,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,4095.516470197621,3890.7406466877396,249399053.23047158
15-11,2040,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,10008.023898263888,9507.622703350693,609444914.4809587
15-11,2050,PJME,NYCW,38,81.02077938846139,0.9720055805683624,0.95,11910.889116789458,11315.344660949984,725321089.6541896
12-11,2030,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,7602.243402742899,7222.131232605754,722914537.9108046
12-11,2040,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,7602.243403236132,7222.131233074325,722914537.9577073
12-11,2050,NYUP,NYCW,39,319.03239545042265,0.9166373349747516,0.95,7602.243403493893,7222.131233319198,722914537.9822184
12-5,2030,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,4990.8768068620775,4741.332966518973,311042167.4058409
12-5,2040,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,6850.0764705536385,6507.572647025956,426911485.6466216
12-5,2050,NYUP,ISNE,40,422.4133412443228,0.8808793230583774,0.95,6850.076470948371,6507.5726474009525,426911485.67122215
11-5,2030,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,2075.691363465416,1971.9067952921453,260761907.90478748
11-5,2040,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,2075.691363978719,1971.906795779783,260761907.96927196
11-5,2050,NYCW,ISNE,41,208.76319678780865,0.9278510176048604,0.95,2075.691364289506,1971.9067960750306,260761908.00831506
17-1,2030,RMRG,BASN,42,1478.968739910536,0.9042512408779786,0.95,3750.0000000905347,3562.5000000860077,313532567.73229593
17-1,2040,RMRG,BASN,42,1478.968739910536,0.9042512408779786,0.95,3750.000000474945,3562.5000004511976,313532567.76443595
