STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
PJMC_batteries_1,2014,
PJMC_batteries_1,2015,63.0
PJMC_batteries_1,2016,39.6
PJMC_batteries_1,2018,20.0
PJMD_batteries_1,2021,10.0
PJMD_batteries_1,2022,24.6
PJMD_batteries_1,2023,40.0
PJMD_hydroelectric_pumped_storage_1,1985,46546.5
PJME_batteries_1,2015,13.1
PJME_batteries_1,2016,22.8
PJME_batteries_1,2018,20.8
PJME_batteries_1,2019,21.900000000000002
PJME_batteries_1,2021,8.6
PJME_batteries_1,2022,4.3
PJME_batteries_1,2023,54.0
PJME_hydroelectric_pumped_storage_1,1965,6510.0
PJME_hydroelectric_pumped_storage_1,1967,12431.0
PJME_hydroelectric_pumped_storage_1,1968,4154.0
PJME_hydroelectric_pumped_storage_1,1970,7471.0
PJMW_batteries_1,2011,
PJMW_batteries_1,2014,
PJMW_batteries_1,2015,81.0
PJMW_batteries_1,2016,26.0
PJMW_batteries_1,2021,1.6
PJMW_batteries_1,2023,36.0
PJMW_hydroelectric_pumped_storage_1,1965,1023.0
PJMW_hydroelectric_pumped_storage_1,1966,1023.0
PJMW_hydroelectric_pumped_storage_1,1980,1643.0
RMRG_batteries_1,2017,2.2
RMRG_batteries_1,2018,24.5
RMRG_batteries_1,2021,2.0
RMRG_batteries_1,2023,335.0
RMRG_hydroelectric_pumped_storage_1,1954,131.75
RMRG_hydroelectric_pumped_storage_1,1967,5305.65
RMRG_hydroelectric_pumped_storage_1,1981,1782.5
RMRG_hydroelectric_pumped_storage_1,1984,1782.5
SPPC_batteries_1,2012,
SPPC_batteries_1,2017,1.5
SPPN_batteries_1,2018,1.6
SPPN_batteries_1,2020,3.0
SPPN_batteries_1,2021,6.0
SPPN_batteries_1,2022,2.1
SPPS_batteries_1,2019,26.2
SPPS_batteries_1,2020,20.0
SPPS_batteries_1,2024,400.0
SPPS_hydroelectric_pumped_storage_1,1968,1999.5
SPPS_hydroelectric_pumped_storage_1,1971,1999.5
SPPS_hydroelectric_pumped_storage_1,1972,465.0
SPPS_hydroelectric_pumped_storage_1,1979,480.5
SPPS_hydroelectric_pumped_storage_1,1981,480.5
SPPS_hydroelectric_pumped_storage_1,1982,1922.0
SRCA_batteries_1,2017,2.0
SRCA_batteries_1,2018,4.0
SRCA_batteries_1,2019,0.5
SRCA_batteries_1,2020,8.8
SRCA_batteries_1,2021,2.0
SRCA_batteries_1,2022,21.3
SRCA_batteries_1,2023,261.6
SRCA_hydroelectric_pumped_storage_1,1973,6045.0
SRCA_hydroelectric_pumped_storage_1,1975,6045.0
SRCA_hydroelectric_pumped_storage_1,1978,8928.0
SRCA_hydroelectric_pumped_storage_1,1991,22320.0
SRCE_batteries_1,2017,2.0
SRCE_batteries_1,2023,242.6
SRCE_hydroelectric_pumped_storage_1,1956,1046.25
SRCE_hydroelectric_pumped_storage_1,1978,6263.55
SRCE_hydroelectric_pumped_storage_1,1979,18789.1
SRSE_batteries_1,2020,4.4
SRSE_batteries_1,2021,80.0
SRSE_batteries_1,2022,94.3
SRSE_batteries_1,2024,130.0
SRSE_hydroelectric_pumped_storage_1,1977,4960.0
SRSE_hydroelectric_pumped_storage_1,1979,826.15
SRSE_hydroelectric_pumped_storage_1,1980,2478.45
SRSE_hydroelectric_pumped_storage_1,1995,16042.5
SRSE_hydroelectric_pumped_storage_1,2002,5084.0
SRSG_batteries_1,2011,
SRSG_batteries_1,2016,58.0
SRSG_batteries_1,2017,40.0
SRSG_batteries_1,2018,49.0
SRSG_batteries_1,2019,40.0
SRSG_batteries_1,2021,110.0
SRSG_batteries_1,2022,277.0
SRSG_batteries_1,2023,2640.0
SRSG_batteries_1,2024,980.0
SRSG_hydroelectric_pumped_storage_1,1971,888.15
SRSG_hydroelectric_pumped_storage_1,1972,1844.5
SRSG_hydroelectric_pumped_storage_1,1993,620.0
TRE_batteries_1,2018,3.0
TRE_batteries_1,2019,15.0
TRE_batteries_1,2020,124.80000000000001
TRE_batteries_1,2021,819.9
TRE_batteries_1,2022,979.15
TRE_batteries_1,2023,1891.7
TRE_batteries_1,2024,648.0
TRE_batteries_1,2025,200.0
TRE_batteries_1,2027,400.0
TRE_WEST_batteries_1,2012,
TRE_WEST_batteries_1,2017,64.0
TRE_WEST_batteries_1,2018,39.6
TRE_WEST_batteries_1,2019,42.0
TRE_WEST_batteries_1,2020,44.3
TRE_WEST_batteries_1,2021,106.5
TRE_WEST_batteries_1,2022,987.0
TRE_WEST_batteries_1,2023,1797.9
TRE_WEST_batteries_1,2024,400.0
BASN_battery_moderate_0,2030,0.00012691714517285593
CANO_battery_moderate_0,2030,0.0001458029054099103
CASO_battery_moderate_0,2030,0.00013882148088507473
FRCC_battery_moderate_0,2030,10545.997942708545
ISNE_battery_moderate_0,2030,4629.152937432824
MISC_battery_moderate_0,2030,0.0005734894507308389
MISE_battery_moderate_0,2030,14137.728223798587
MISS_battery_moderate_0,2030,0.0008682073532543057
MISW_battery_moderate_0,2030,9785.554969458459
NWPP_battery_moderate_0,2030,5.8095670323692134e-05
NYCW_battery_moderate_0,2030,297.37014407926586
NYUP_battery_moderate_0,2030,850.4831049160773
PJMC_battery_moderate_0,2030,0.045544972027961594
PJMD_battery_moderate_0,2030,0.002364169854008182
PJME_battery_moderate_0,2030,3206.0874950665348
PJMW_battery_moderate_0,2030,37774.74506672056
RMRG_battery_moderate_0,2030,0.00011657132583825966
SPPC_battery_moderate_0,2030,0.00023786999302101525
SPPN_battery_moderate_0,2030,0.0002974220374216048
SPPS_battery_moderate_0,2030,0.0001656563445135654
SRCA_battery_moderate_0,2030,10447.287312197172
SRCE_battery_moderate_0,2030,0.0006555734448519248
SRSE_battery_moderate_0,2030,3363.766831127873
SRSG_battery_moderate_0,2030,0.00017261386253954858
TRE_battery_moderate_0,2030,0.00019040539427898643
TRE_WEST_battery_moderate_0,2030,0.0001533367079025672
BASN_battery_moderate_0,2040,16806.920014516072
CANO_battery_moderate_0,2040,30230.792241871502
CASO_battery_moderate_0,2040,98184.16263728378
FRCC_battery_moderate_0,2040,83704.99480260503
ISNE_battery_moderate_0,2040,88063.00187804339
MISC_battery_moderate_0,2040,26796.11339756677
MISE_battery_moderate_0,2040,27687.46119444707
MISS_battery_moderate_0,2040,16178.82101549117
MISW_battery_moderate_0,2040,68092.93464189065
NWPP_battery_moderate_0,2040,0.0010118999955842354
NYCW_battery_moderate_0,2040,10592.850996443956
NYUP_battery_moderate_0,2040,9476.86761695045
PJMC_battery_moderate_0,2040,9774.739342731042
PJMD_battery_moderate_0,2040,81315.18687726241
PJME_battery_moderate_0,2040,63470.93504716243
PJMW_battery_moderate_0,2040,167519.7386565199
RMRG_battery_moderate_0,2040,0.001914968846456002
