TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
17-10,2050,3688.999925794646
17-24,2030,2528.185204036933
17-24,2040,6359.239242765034
17-24,2050,2882.7530316548364
1-10,2030,1.6606869371256665e-07
1-10,2040,3.653914802663619e-08
1-10,2050,5.941493642586092e-07
1-2,2030,1.0809710126132275e-07
1-2,2040,1.933894313160765e-08
1-2,2050,2.3489347330601882e-06
1-3,2030,1.5324500768115022e-07
1-3,2040,7.526661093480433e-09
1-3,2050,3.013347544494413e-08
1-24,2030,6.863730266405664e-08
1-24,2040,1.6833745678140777e-09
1-24,2050,5.719180214869633e-08
10-2,2030,2.7951544341276984e-07
10-2,2040,685.8664754854715
10-2,2050,485.835071088142
10-3,2030,1.8828298274431396e-07
10-3,2040,7.933325881787432e-08
10-3,2050,1742.002067147086
2-3,2030,1.5842687346397903e-07
2-3,2040,1.5136814963908544e-08
2-3,2050,4.782044138745884e-08
3-24,2030,4250.153322128766
3-24,2040,5369.420016007804
3-24,2050,2402.8306940731436
10-19,2030,0.0004968629779916348
10-19,2040,1.38921735220699e-07
10-19,2050,0.000173749842706464
10-9,2030,1.6970223221415472e-07
10-9,2040,3.733222543661081e-08
10-9,2050,4.905059911600075e-06
17-19,2030,9999.999996236733
17-19,2040,2.5688637491357324e-08
17-19,2050,9.525206606745009e-08
17-18,2030,9999.999999556123
17-18,2040,1.9979836954451192e-06
17-18,2050,1678.136763826758
24-25,2030,186.69748648414523
24-25,2040,7577.325464763034
24-25,2050,1412.2092444444966
