GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
BASN_small_hydroelectric_1,1915,9.3
BASN_small_hydroelectric_1,1916,9.3
BASN_small_hydroelectric_1,1917,2.7
BASN_small_hydroelectric_1,1920,16.3
BASN_small_hydroelectric_1,1921,13.4
BASN_small_hydroelectric_1,1924,15.2
BASN_small_hydroelectric_1,1925,15.0
BASN_small_hydroelectric_1,1927,32.7
BASN_small_hydroelectric_1,1937,21.4
BASN_small_hydroelectric_1,1939,0.1
BASN_small_hydroelectric_1,1940,3.6
BASN_small_hydroelectric_1,1942,5.0
BASN_small_hydroelectric_1,1946,0.5
BASN_small_hydroelectric_1,1947,19.4
BASN_small_hydroelectric_1,1948,22.4
BASN_small_hydroelectric_1,1958,14.100000000000001
BASN_small_hydroelectric_1,1961,1.4
BASN_small_hydroelectric_1,1964,0.5
BASN_small_hydroelectric_1,1981,1.0
BASN_small_hydroelectric_1,1982,24.0
BASN_small_hydroelectric_1,1983,15.0
BASN_small_hydroelectric_1,1984,19.799999999999994
BASN_small_hydroelectric_1,1985,6.1
BASN_small_hydroelectric_1,1986,14.0
BASN_small_hydroelectric_1,1987,15.7
BASN_small_hydroelectric_1,1988,26.5
BASN_small_hydroelectric_1,1989,12.3
BASN_small_hydroelectric_1,1990,21.6
BASN_small_hydroelectric_1,1991,1.8
BASN_small_hydroelectric_1,1992,1.3
BASN_small_hydroelectric_1,1993,26.8
BASN_small_hydroelectric_1,1994,30.799999999999997
BASN_small_hydroelectric_1,1995,9.4
BASN_small_hydroelectric_1,1997,20.0
BASN_small_hydroelectric_1,1998,2.1
BASN_small_hydroelectric_1,2004,3.3000000000000003
BASN_small_hydroelectric_1,2006,0.8
BASN_small_hydroelectric_1,2008,13.0
BASN_small_hydroelectric_1,2010,16.0
BASN_small_hydroelectric_1,2013,1.1
BASN_small_hydroelectric_1,2014,3.5999999999999996
BASN_small_hydroelectric_1,2015,1.2
BASN_small_hydroelectric_1,2016,0.1
BASN_small_hydroelectric_1,2020,3.2
BASN_small_hydroelectric_1,2021,2.3
BASN_solar_photovoltaic_1,2007,15.000000000000002
BASN_solar_photovoltaic_1,2008,10.0
BASN_solar_photovoltaic_1,2010,48.0
BASN_solar_photovoltaic_1,2012,187.1
BASN_solar_photovoltaic_1,2013,33.3
BASN_solar_photovoltaic_1,2014,247.5
BASN_solar_photovoltaic_1,2015,387.8999999999999
BASN_solar_photovoltaic_1,2016,1425.6000000000001
BASN_solar_photovoltaic_1,2017,425.40000000000003
BASN_solar_photovoltaic_1,2018,25.099999999999998
BASN_solar_photovoltaic_1,2019,477.6
BASN_solar_photovoltaic_1,2020,439.0
BASN_solar_photovoltaic_1,2021,860.8
BASN_solar_photovoltaic_1,2022,508.9
BASN_solar_photovoltaic_1,2023,1688.9
BASN_solar_photovoltaic_1,2024,566.0
BASN_solar_photovoltaic_1,2025,663.0
