GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
BASN_landbasedwind_class3_moderate_20,2050,LandbasedWind_Class3_Moderate,BASN,Wind,7.80717e-05,.,99.1862
BASN_landbasedwind_class3_moderate_21,2030,LandbasedWind_Class3_Moderate,BASN,Wind,4.21775e-05,.,77.07
BASN_landbasedwind_class3_moderate_21,2040,LandbasedWind_Class3_Moderate,BASN,Wind,5.30495e-05,.,85.3732
BASN_landbasedwind_class3_moderate_21,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000134452,.,204.101
BASN_landbasedwind_class3_moderate_22,2030,LandbasedWind_Class3_Moderate,BASN,Wind,4.65923e-05,.,98.4067
BASN_landbasedwind_class3_moderate_22,2040,LandbasedWind_Class3_Moderate,BASN,Wind,2.42377e-06,.,4.59089
BASN_landbasedwind_class3_moderate_22,2050,LandbasedWind_Class3_Moderate,BASN,Wind,4.92627e-05,.,88.812
BASN_landbasedwind_class3_moderate_23,2030,LandbasedWind_Class3_Moderate,BASN,Wind,8.57349e-05,.,169.508
BASN_landbasedwind_class3_moderate_23,2040,LandbasedWind_Class3_Moderate,BASN,Wind,920.025,.,1.61847e+09
BASN_landbasedwind_class3_moderate_23,2050,LandbasedWind_Class3_Moderate,BASN,Wind,3.82615e-08,.,0.0638151
BASN_utilitypv_class1_moderate_0,2030,UtilityPV_Class1_Moderate,BASN,Solar,7.41455e-05,.,74.7677
BASN_utilitypv_class1_moderate_0,2040,UtilityPV_Class1_Moderate,BASN,Solar,13187.6,.,1.07445e+10
BASN_utilitypv_class1_moderate_0,2050,UtilityPV_Class1_Moderate,BASN,Solar,3638.73,.,2.72346e+09
BASN_utilitypv_class1_moderate_1,2030,UtilityPV_Class1_Moderate,BASN,Solar,3239.28,.,3.10759e+09
BASN_utilitypv_class1_moderate_1,2040,UtilityPV_Class1_Moderate,BASN,Solar,7.65704e-08,.,0.0586299
BASN_utilitypv_class1_moderate_1,2050,UtilityPV_Class1_Moderate,BASN,Solar,9.26307e-08,.,0.0647875
BASN_utilitypv_class1_moderate_2,2030,UtilityPV_Class1_Moderate,BASN,Solar,4.8193e-05,.,52.5741
BASN_utilitypv_class1_moderate_2,2040,UtilityPV_Class1_Moderate,BASN,Solar,0.000242323,.,217.428
BASN_utilitypv_class1_moderate_2,2050,UtilityPV_Class1_Moderate,BASN,Solar,1422.47,.,1.18205e+09
BASN_utilitypv_class1_moderate_3,2030,UtilityPV_Class1_Moderate,BASN,Solar,8.15741e-05,.,77.7569
BASN_utilitypv_class1_moderate_3,2040,UtilityPV_Class1_Moderate,BASN,Solar,1493.06,.,1.13407e+09
BASN_utilitypv_class1_moderate_3,2050,UtilityPV_Class1_Moderate,BASN,Solar,1.47281e-07,.,0.102107
BASN_utilitypv_class1_moderate_4,2030,UtilityPV_Class1_Moderate,BASN,Solar,4.68657e-05,.,51.6478
BASN_utilitypv_class1_moderate_4,2040,UtilityPV_Class1_Moderate,BASN,Solar,0.00027816,.,252.679
BASN_utilitypv_class1_moderate_4,2050,UtilityPV_Class1_Moderate,BASN,Solar,16716.3,.,1.4077e+10
BASN_utilitypv_class1_moderate_5,2030,UtilityPV_Class1_Moderate,BASN,Solar,7.16721e-05,.,69.9782
BASN_utilitypv_class1_moderate_5,2040,UtilityPV_Class1_Moderate,BASN,Solar,3171.78,.,2.48262e+09
BASN_utilitypv_class1_moderate_5,2050,UtilityPV_Class1_Moderate,BASN,Solar,2.32082e-07,.,0.166273
BASN_utilitypv_class1_moderate_6,2030,UtilityPV_Class1_Moderate,BASN,Solar,3.25202e-05,.,38.5014
BASN_utilitypv_class1_moderate_6,2040,UtilityPV_Class1_Moderate,BASN,Solar,6.138e-05,.,60.7832
BASN_utilitypv_class1_moderate_6,2050,UtilityPV_Class1_Moderate,BASN,Solar,0.000158834,.,146.762
BASN_utilitypv_class1_moderate_7,2030,UtilityPV_Class1_Moderate,BASN,Solar,5.67512e-05,.,57.9955
BASN_utilitypv_class1_moderate_7,2040,UtilityPV_Class1_Moderate,BASN,Solar,5009.59,.,4.14934e+09
BASN_utilitypv_class1_moderate_7,2050,UtilityPV_Class1_Moderate,BASN,Solar,9.82425e-07,.,0.748605
BASN_utilitypv_class1_moderate_8,2030,UtilityPV_Class1_Moderate,BASN,Solar,2.66955e-05,.,31.1997
BASN_utilitypv_class1_moderate_8,2040,UtilityPV_Class1_Moderate,BASN,Solar,5.80604e-05,.,56.6135
BASN_utilitypv_class1_moderate_8,2050,UtilityPV_Class1_Moderate,BASN,Solar,0.000149438,.,135.809
BASN_utilitypv_class1_moderate_9,2030,UtilityPV_Class1_Moderate,BASN,Solar,3.88449e-05,.,47.8584
BASN_utilitypv_class1_moderate_9,2040,UtilityPV_Class1_Moderate,BASN,Solar,5.65199e-05,.,58.6897
BASN_utilitypv_class1_moderate_9,2050,UtilityPV_Class1_Moderate,BASN,Solar,0.000169101,.,164.385
CANO_naturalgas_ccccsavgcf_conservative_0,2030,NaturalGas_CCCCSAvgCF_Conservative,CANO,Naturalgas,2.82699e-06,.,7.87984
CANO_naturalgas_ccccsavgcf_conservative_0,2040,NaturalGas_CCCCSAvgCF_Conservative,CANO,Naturalgas,9.84729e-07,.,2.55373
