TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
17-10,2050,6537.2068632031815
17-24,2030,3.995241181829374e-10
17-24,2040,159.08667383036513
17-24,2050,3786.7663121626624
1-10,2030,1.811904319928977e-08
1-10,2040,1.2592458192719212e-10
1-10,2050,1.844481802337059e-08
1-2,2030,4.735434119234766e-11
1-2,2040,1.0283333151205393e-10
1-2,2050,3.319670223350432e-10
1-3,2030,9.160396061838191e-11
1-3,2040,3.511317544339511e-08
1-3,2050,1.657265484074568e-08
1-24,2030,3.674129628182821e-09
1-24,2040,1.3528373286753927e-08
1-24,2050,1.5370802509269052e-08
10-2,2030,3.26403130643296e-08
10-2,2040,304.08021498583236
10-2,2050,1289.8988526007447
10-3,2030,1.4505914788903756e-10
10-3,2040,2.8763808246392554e-08
10-3,2050,1313.25657152643
2-3,2030,2.7086337977431018e-09
2-3,2040,1.0555770679141087e-08
2-3,2050,1.449077717203119e-08
3-24,2030,2.619330141804393e-08
3-24,2040,4.1699034716238195e-08
3-24,2050,10005.104114889475
10-19,2030,6.82898195868026e-07
10-19,2040,2.6306578602618277e-06
10-19,2050,3.924468683404885e-05
10-9,2030,5.00062854869247e-11
10-9,2040,1.1483612098476309e-10
10-9,2050,3.8180003844710244e-10
17-19,2030,3252.1104734741393
17-19,2040,5.6933129954401476e-08
17-19,2050,2668.9345445557906
17-18,2030,2999.7021487582983
17-18,2040,1690.9909551160304
17-18,2050,4795.170868719115
24-25,2030,1.9118701160055687e-06
24-25,2040,5125.1504152669
24-25,2050,5455.532236280437
