gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_*_Moderate,BASN,Electricity,2030,-6.464378618659748e-07,0.0005343257546577027,0.0,2.049722912051048e-06,0.027118942883253793,0.012835364875263662,11.366277919481755,0.19893310792573782,4.208609559583993e-06,3.5621716977180185e-06
Battery_*_Moderate,BASN,Electricity,2040,-1732.2890690613963,1431845.1836460652,0.0,5042.474161827809,65628359.76297727,31071725.78518296,10.280294111328656,0.21669480365800728,11277.923626701831,9545.634557640435
Battery_*_Moderate,BASN,Electricity,2050,-4978.0589070690185,4114676.8153742407,0.0,12956.697515763834,274706279.45032066,69136937.94411582,12.684759088843396,0.24234693145595443,32409.23767623063,27431.17876916161
Battery_*_Moderate,CANO,Electricity,2030,-5.885125236599821e-07,0.0004864468431887052,0.0,1.9744478613979013e-06,0.026376607750622907,0.012363992508073659,12.095991880042304,0.188012115025249,3.83149147825135e-06,3.242978954591368e-06
Battery_*_Moderate,CANO,Electricity,2040,-2363.8446228932644,1953865.321110219,0.0,6172.464233213468,81114503.63077527,38034724.60506139,9.297193535949608,0.24156396989617576,15389.613430294723,13025.768807401459
Battery_*_Moderate,CANO,Electricity,2050,-3987.346048357826,3295790.7180957706,0.0,10465.105231604546,224031935.53073335,55841801.51584186,12.887781050989165,0.24033229969384812,25959.284168996295,21971.938120638468
Battery_*_Moderate,CASO,Electricity,2030,-6.25895074119028e-07,0.0005173458576032623,0.0,2.001142920391922e-06,0.026758791020561605,0.012531156967494217,11.54178387454669,0.19728723439009582,4.074867458140777e-06,3.4489723840217494e-06
Battery_*_Moderate,CASO,Electricity,2040,-7144.849653323183,5905664.791574949,0.0,18110.256983421375,238221818.3434248,111595403.53184251,9.035127269015968,0.24885151850474574,46515.948263822844,39371.09861049967
Battery_*_Moderate,CASO,Electricity,2050,-8628.956581400675,7132371.924314,0.0,22588.323752258875,484024477.0914295,120531295.54205336,12.864334986638328,0.2409606320209834,56178.102743494004,47549.14616209333
Battery_*_Moderate,FRCC,Electricity,2030,-6.441906678074929e-07,0.0005326541874570135,0.0,2.3952438335531104e-06,0.030767228577801283,0.014999016885709577,13.038168311040726,0.16970386379506516,4.195218584187583e-06,3.5510279163800904e-06
Battery_*_Moderate,FRCC,Electricity,2040,-1718.1123666434096,1420127.253053886,0.0,6447.356716807031,81471362.65223266,39728612.088964924,12.951667014054413,0.1680899229442894,11185.62738700265,9467.51502035924
Battery_*_Moderate,FRCC,Electricity,2050,-4312.975426842291,3564943.751249523,0.0,12886.272439646906,265263190.04327706,68761149.73795588,14.204541800168233,0.2111161651605789,28079.26710183911,23766.291674996814
