generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
MISC_landbasedwind_class3_moderate_3,MISC_landbasedwind_class3_moderate_3,LandbasedWind_Class3_Moderate,MISC,Wind,2040,8249.44891429375,-107902791.79896224,0.0,2200.0949999995173,181495240.78311786,88811234.8649734,19.686610043458,0.4292110339386797,,
MISC_landbasedwind_class3_moderate_3,MISC_landbasedwind_class3_moderate_3,LandbasedWind_Class3_Moderate,MISC,Wind,2050,8249.448912305212,-107902791.77295217,0.0,2200.094999999082,181495240.7831985,88811234.86495177,19.686610051363576,0.4292110338353029,,
MISC_landbasedwind_class3_moderate_4,MISC_landbasedwind_class3_moderate_4,LandbasedWind_Class3_Moderate,MISC,Wind,2030,7699.535640636705,-100709926.17952812,0.0,2382.2439999864932,192213001.994485,96164043.54745477,24.373823061736314,0.3699692817890324,,
MISC_landbasedwind_class3_moderate_4,MISC_landbasedwind_class3_moderate_4,LandbasedWind_Class3_Moderate,MISC,Wind,2040,8088.132564180631,-105792773.93948266,0.0,2382.2439999986154,192213001.9953117,96164043.54790685,22.574342118517517,0.38864169677662735,,
MISC_landbasedwind_class3_moderate_4,MISC_landbasedwind_class3_moderate_4,LandbasedWind_Class3_Moderate,MISC,Wind,2050,8088.13256219155,-105792773.91346548,0.0,2382.2439999992826,192213001.99545014,96164043.54792388,22.574342127305055,0.38864169668094156,,
MISC_landbasedwind_class3_moderate_5,MISC_landbasedwind_class3_moderate_5,LandbasedWind_Class3_Moderate,MISC,Wind,2030,1086.7544328915264,-14214747.982221168,0.0,320.2692416320389,29458549.346560284,12928308.476960516,25.923160733140172,0.38842177055679267,,
MISC_landbasedwind_class3_moderate_5,MISC_landbasedwind_class3_moderate_5,LandbasedWind_Class3_Moderate,MISC,Wind,2040,10971.21203866035,-143503453.46567735,0.0,3039.726999997157,241037023.5040192,114481019.54758862,19.32462783864113,0.4131496624248692,,
MISC_landbasedwind_class3_moderate_5,MISC_landbasedwind_class3_moderate_5,LandbasedWind_Class3_Moderate,MISC,Wind,2050,10971.212036644365,-143503453.4393083,0.0,3039.726999998807,241037023.50422403,114481019.54764114,19.324627844619002,0.41314966234872774,,
MISC_landbasedwind_class3_moderate_6,MISC_landbasedwind_class3_moderate_6,LandbasedWind_Class3_Moderate,MISC,Wind,2030,2.8341882866185458e-06,-0.037071182788970584,0.0,9.49243952467226e-07,0.09564285335661098,0.03831813062924451,34.18608483224083,0.34177338082265296,,
MISC_landbasedwind_class3_moderate_6,MISC_landbasedwind_class3_moderate_6,LandbasedWind_Class3_Moderate,MISC,Wind,2040,3724.4545215805647,-48715865.14227378,0.0,1016.4819999945888,88000023.23336469,37958487.32866799,20.739317656368925,0.419421179965336,,
MISC_landbasedwind_class3_moderate_6,MISC_landbasedwind_class3_moderate_6,LandbasedWind_Class3_Moderate,MISC,Wind,2050,3724.454519779481,-48715865.11871562,0.0,1016.4819999989412,88000023.23379399,37958487.32881443,20.739317672877966,0.4194211797607151,,
MISC_landbasedwind_class3_moderate_7,MISC_landbasedwind_class3_moderate_7,LandbasedWind_Class3_Moderate,MISC,Wind,2030,8644.920458813463,-113075559.6012801,0.0,2551.4999999925258,220784399.44636503,102996400.49969828,24.373300060843242,0.3878401835574881,,
MISC_landbasedwind_class3_moderate_7,MISC_landbasedwind_class3_moderate_7,LandbasedWind_Class3_Moderate,MISC,Wind,2040,9182.269228852023,-120104081.51338445,0.0,2551.4999999984643,220784399.44681492,102996400.49991953,22.181523254988882,0.41194745517331743,,
MISC_landbasedwind_class3_moderate_7,MISC_landbasedwind_class3_moderate_7,LandbasedWind_Class3_Moderate,MISC,Wind,2050,9182.269226842214,-120104081.48709619,0.0,2551.499999998991,220784399.446932,102996400.49993347,22.181523262721164,0.41194745508306563,,
MISC_landbasedwind_class3_moderate_8,MISC_landbasedwind_class3_moderate_8,LandbasedWind_Class3_Moderate,MISC,Wind,2030,2.4911533517432742e-06,-0.032584285840802016,0.0,8.609064598078099e-07,0.08670854789610707,0.034752211063061866,35.67683741997353,0.3312316827725021,,
MISC_landbasedwind_class3_moderate_8,MISC_landbasedwind_class3_moderate_8,LandbasedWind_Class3_Moderate,MISC,Wind,2040,12969.115727568938,-169636033.71660173,0.0,3566.1939999908136,308595119.52161443,133172382.54425988,20.983039558417424,0.4162869295680301,,
MISC_landbasedwind_class3_moderate_8,MISC_landbasedwind_class3_moderate_8,LandbasedWind_Class3_Moderate,MISC,Wind,2050,12969.115725468273,-169636033.689125,0.0,3566.1939999987217,308595119.5223256,133172382.54452892,20.983039564010344,0.4162869294996791,,
MISC_landbasedwind_class3_moderate_9,MISC_landbasedwind_class3_moderate_9,LandbasedWind_Class3_Moderate,MISC,Wind,2030,3.964651842651289e-05,-0.5185764610187886,0.0,1.2129540450097171e-05,1.0527535158227694,0.48963315934907253,25.823458270383686,0.37415201038308793,,
MISC_landbasedwind_class3_moderate_9,MISC_landbasedwind_class3_moderate_9,LandbasedWind_Class3_Moderate,MISC,Wind,2040,6994.500635045559,-91488068.30639592,0.0,2032.930999996435,147617809.28289828,75915742.36954606,18.878471850362242,0.39384147579126916,,
MISC_landbasedwind_class3_moderate_9,MISC_landbasedwind_class3_moderate_9,LandbasedWind_Class3_Moderate,MISC,Wind,2050,6994.500633096748,-91488068.28090546,0.0,2032.9309999990317,147617809.2831536,75915742.36963105,18.878471859315184,0.39384147568103384,,
MISC_natural_gas_fired_combined_cycle_1,MISC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2030,4867.400713928414,22151540.649088215,1935174.2641346455,791.6,0.0,13055067.2,7.2331435027204565,0.7038476915592795,,
MISC_natural_gas_fired_combined_cycle_1,MISC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2040,3448.156642155077,15692560.878447756,1370913.221405584,791.6,0.0,13055067.2,8.337100387783039,0.4986187156875497,,
MISC_natural_gas_fired_combined_cycle_1,MISC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2050,2957.5941959257116,13460011.185657915,1175876.1006323863,791.6,0.0,13055067.2,8.965083317442348,0.4276812142083381,,
MISC_natural_gas_fired_combined_cycle_2,MISC_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2030,22522.024835695498,81327031.68169644,8783386.987697722,4245.5,0.0,41550708.5,5.4558922245279495,0.6072478173316753,,
MISC_natural_gas_fired_combined_cycle_2,MISC_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2040,13639.672425509896,49252857.12851624,5319349.488897031,4245.5,0.0,41550708.5,6.657312785510075,0.36775828860567666,,
MISC_natural_gas_fired_combined_cycle_2,MISC_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,MISC,Naturalgas,2050,11961.566071846051,43193215.08543609,4664903.113925314,4245.5,0.0,41550708.5,7.0846846538680195,0.3225125157257127,,
MISC_natural_gas_fired_combustion_turbine_1,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2030,1.7328005570768998,9147.454140808954,1031.042046221022,577.6,0.0,8054632.0,4653.610838943739,0.00034340670380818647,,
MISC_natural_gas_fired_combustion_turbine_1,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2040,589.3523357006445,3111190.9801637027,350673.38573054527,457.59999999999997,0.0,6381232.0,16.10653323173607,0.14742677587352665,,
MISC_natural_gas_fired_combustion_turbine_1,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2050,910.216418700026,4805032.474317437,541592.2767381689,415.59999999999997,0.0,5795542.0,11.646213204390678,0.25070125088909645,,
MISC_natural_gas_fired_combustion_turbine_2,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2030,892.9475369210597,4713870.047406274,583292.6723604859,8951.4,0.0,93192792.66360001,109.64436169295536,0.011418849630406767,,
MISC_natural_gas_fired_combustion_turbine_2,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2040,3402.89712076669,17963893.900527354,2222846.1060364377,8951.4,0.0,93192792.66360001,32.665309181925316,0.04351562541262053,,
MISC_natural_gas_fired_combustion_turbine_2,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2050,3517.245659647107,18567539.83727708,2297541.0484224786,7677.6,0.0,79931293.9824,28.004536319353846,0.052440230894790885,,
MISC_natural_gas_internal_combustion_engine_1,MISC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,MISC,Naturalgas,2030,1.1173304390392722e-07,0.0005433577925047981,5.6048561896413644e-05,72.7,0.0,1526700.0,13663818215.281765,1.7592784950938552e-10,,
MISC_natural_gas_internal_combustion_engine_1,MISC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,MISC,Naturalgas,2040,8.632534229536924e-08,0.0004198001395823806,4.330331584836592e-05,35.7,0.0,749700.0,8684587636.555672,2.7679450721111917e-10,,
MISC_natural_gas_internal_combustion_engine_1,MISC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,MISC,Naturalgas,2050,0.7656000905832793,3723.1132405064877,384.04739158322167,34.8,0.0,730800.0,959.4083416067825,0.0025183153162737864,,
MISC_natural_gas_steam_turbine_1,MISC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,MISC,Naturalgas,2030,0.40800038443096975,430.8484059591042,243.91365398322102,204.0,0.0,10465812.0,25652.5318303389,0.0002289379446503592,,
MISC_natural_gas_steam_turbine_1,MISC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,MISC,Naturalgas,2040,3.970200249685814,4192.53146366822,2373.492984072926,101.8,0.0,5222645.4,1316.5174557321889,0.004464285995044571,,
MISC_natural_gas_steam_turbine_1,MISC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,MISC,Naturalgas,2050,2.0580001179676066,2173.248124573793,1230.3280776842225,49.0,0.0,2513847.0,1222.5559299818158,0.004807692583276347,,
MISC_naturalgas_ccavgcf_moderate_0,MISC_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,MISC,Naturalgas,2030,3.3794219572569224e-08,6.758843914513843e-05,1.1404251407710527e-05,1.4460828607555706e-07,0.00863950411444984,0.004049032010115598,377.46468848964713,0.026750790325128827,,
MISC_naturalgas_ccavgcf_moderate_0,MISC_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,MISC,Naturalgas,2040,2.9016981303741497e-08,5.8033962607483e-05,9.792116937930693e-06,1.864543116693142e-07,0.011043900134611977,0.0052207207267407985,562.5207754417785,0.017814234867598415,,
MISC_naturalgas_ccavgcf_moderate_0,MISC_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,MISC,Naturalgas,2050,2.896538887584317e-08,5.793077775168633e-05,9.77470647466424e-06,3.0391268353777457e-07,0.017537864527924822,0.00850955513905769,901.26014039141,0.010909828227372196,,
