TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
11-5,2040,2.0573692332166945e-08
11-5,2050,3.279437237467562e-08
17-1,2030,2.1612081302615376e-08
17-1,2040,152.08021550582495
17-1,2050,2.1496390312336078e-07
17-10,2030,4817.577165189058
17-10,2040,1784.7709819838649
17-10,2050,1845.5150331454163
17-24,2030,471.22702512483164
17-24,2040,6128.194336220547
17-24,2050,1.10710226168793e-06
1-10,2030,1.0011290992933868e-07
1-10,2040,5.801245487935094e-06
1-10,2050,2.4248221308388736e-08
1-2,2030,5.601998427075844e-09
1-2,2040,1.0972205332825159e-08
1-2,2050,3.381505717416605e-08
1-3,2030,1.379051171238319e-08
1-3,2040,1.1969258301083998e-08
1-3,2050,6.331658216071198e-08
1-24,2030,2.7135032246772512e-08
1-24,2040,6.936013738614183e-09
1-24,2050,1.4182908550061367e-08
10-2,2030,2.5162868878228796e-08
10-2,2040,306.37555607292074
10-2,2050,1876.8020049933943
10-3,2030,1.4575375606442121e-08
10-3,2040,2.6429675120372006e-08
10-3,2050,641.8298894092635
2-3,2030,1.0868295199474107e-07
2-3,2040,1.8829493748961104e-06
2-3,2050,4.432071743151925e-06
3-24,2030,5.9059139067367813e-08
3-24,2040,5899.367839617968
3-24,2050,1993.300838933141
10-19,2030,0.0003922890695862043
10-19,2040,1.2475980007426112e-06
10-19,2050,9.339557793158354e-05
10-9,2030,6.079157880953118e-09
10-9,2040,1.2719366188116778e-08
10-9,2050,2.5324983873863978e-08
17-19,2030,3207.2318402367127
17-19,2040,992.3760975625846
17-19,2050,2.0470540355075537e-06
17-18,2030,9999.999999540612
17-18,2040,2623.80193715226
17-18,2050,2.2165222976417027e-07
24-25,2030,123.68060305518905
24-25,2040,9254.278631220102
24-25,2050,1773.825466234064
