GenCapacity_index_1,GenCapacity_index_2,GenCapacity
ISNE_hydroelectric_pumped_storage_1,2050,1768.0
ISNE_natural_gas_fired_combined_cycle_1,2030,3811.6999999999994
ISNE_natural_gas_fired_combined_cycle_1,2040,3607.1999999999994
ISNE_natural_gas_fired_combined_cycle_1,2050,3346.1999999999994
ISNE_natural_gas_fired_combined_cycle_2,2030,10499.0
ISNE_natural_gas_fired_combined_cycle_2,2040,10499.0
ISNE_natural_gas_fired_combined_cycle_2,2050,10499.0
ISNE_natural_gas_fired_combustion_turbine_1,2030,911.3
ISNE_natural_gas_fired_combustion_turbine_1,2040,907.3000000000001
ISNE_natural_gas_fired_combustion_turbine_1,2050,832.3
ISNE_natural_gas_fired_combustion_turbine_2,2030,1428.0
ISNE_natural_gas_fired_combustion_turbine_2,2040,1428.0
ISNE_natural_gas_fired_combustion_turbine_2,2050,1384.0
ISNE_natural_gas_internal_combustion_engine_1,2030,57.4
ISNE_natural_gas_internal_combustion_engine_1,2040,57.4
ISNE_natural_gas_internal_combustion_engine_1,2050,52.4
ISNE_natural_gas_steam_turbine_1,2030,41.900000000000006
ISNE_natural_gas_steam_turbine_1,2040,17.200000000000003
ISNE_natural_gas_steam_turbine_1,2050,10.2
ISNE_nuclear_1,2030,3348.1
ISNE_nuclear_1,2040,3348.1
ISNE_nuclear_1,2050,3348.1
ISNE_offshore_wind_turbine_1,2030,29.3
ISNE_offshore_wind_turbine_1,2040,29.3
ISNE_offshore_wind_turbine_1,2050,0.0
ISNE_onshore_wind_turbine_1,2030,1539.1999999999998
ISNE_onshore_wind_turbine_1,2040,1333.9999999999998
ISNE_onshore_wind_turbine_1,2050,112.39999999999999
ISNE_petroleum_liquids_1,2030,1049.3000000000002
ISNE_petroleum_liquids_1,2040,826.5
ISNE_petroleum_liquids_1,2050,677.2
ISNE_small_hydroelectric_1,2030,577.8999999999999
ISNE_small_hydroelectric_1,2040,519.8
ISNE_small_hydroelectric_1,2050,458.69999999999993
ISNE_solar_photovoltaic_1,2030,2683.4000000000005
ISNE_solar_photovoltaic_1,2040,2683.3000000000006
ISNE_solar_photovoltaic_1,2050,1402.2
MISC_batteries_1,2030,36.3
MISC_batteries_1,2040,0.0
MISC_batteries_1,2050,0.0
MISC_biomass_1,2030,136.10000000000002
MISC_biomass_1,2040,132.10000000000002
MISC_biomass_1,2050,99.80000000000001
MISC_biomass_2,2030,64.1
MISC_biomass_2,2040,64.1
MISC_biomass_2,2050,62.1
MISC_conventional_hydroelectric_1,2030,448.6
MISC_conventional_hydroelectric_1,2040,276.6
MISC_conventional_hydroelectric_1,2050,276.6
MISC_conventional_steam_coal_1,2030,12582.800000000001
MISC_conventional_steam_coal_1,2040,7508.700000000001
MISC_conventional_steam_coal_1,2050,2502.4
MISC_conventional_steam_coal_2,2030,3145.8
MISC_conventional_steam_coal_2,2040,2726.8
MISC_conventional_steam_coal_2,2050,595.8
MISC_hydroelectric_pumped_storage_1,2030,471.0
MISC_hydroelectric_pumped_storage_1,2040,471.0
MISC_hydroelectric_pumped_storage_1,2050,471.0
MISC_natural_gas_fired_combined_cycle_1,2030,791.6
MISC_natural_gas_fired_combined_cycle_1,2040,791.6
MISC_natural_gas_fired_combined_cycle_1,2050,791.6
MISC_natural_gas_fired_combined_cycle_2,2030,4245.5
MISC_natural_gas_fired_combined_cycle_2,2040,4245.5
MISC_natural_gas_fired_combined_cycle_2,2050,4245.5
MISC_natural_gas_fired_combustion_turbine_1,2030,577.6
MISC_natural_gas_fired_combustion_turbine_1,2040,457.59999999999997
MISC_natural_gas_fired_combustion_turbine_1,2050,415.59999999999997
MISC_natural_gas_fired_combustion_turbine_2,2030,8951.4
MISC_natural_gas_fired_combustion_turbine_2,2040,8951.4
MISC_natural_gas_fired_combustion_turbine_2,2050,7677.6
MISC_natural_gas_internal_combustion_engine_1,2030,72.7
MISC_natural_gas_internal_combustion_engine_1,2040,35.7
MISC_natural_gas_internal_combustion_engine_1,2050,34.8
MISC_natural_gas_steam_turbine_1,2030,204.0
MISC_natural_gas_steam_turbine_1,2040,101.8
MISC_natural_gas_steam_turbine_1,2050,49.0
MISC_nuclear_1,2030,2373.0
MISC_nuclear_1,2040,2373.0
MISC_nuclear_1,2050,2373.0
MISC_onshore_wind_turbine_1,2030,6436.999999999999
MISC_onshore_wind_turbine_1,2040,5736.799999999999
MISC_onshore_wind_turbine_1,2050,3343.2000000000003
MISC_petroleum_liquids_1,2030,323.40000000000003
MISC_petroleum_liquids_1,2040,247.80000000000007
MISC_petroleum_liquids_1,2050,39.3
MISC_small_hydroelectric_1,2030,30.0
MISC_small_hydroelectric_1,2040,27.0
MISC_small_hydroelectric_1,2050,27.0
MISC_solar_photovoltaic_1,2030,3922.1
MISC_solar_photovoltaic_1,2040,3922.1
MISC_solar_photovoltaic_1,2050,3697.6000000000004
MISE_batteries_1,2030,1.3
MISE_batteries_1,2040,0.0
MISE_batteries_1,2050,0.0
MISE_biomass_1,2030,261.7
MISE_biomass_1,2040,184.5
MISE_biomass_1,2050,88.80000000000001
MISE_biomass_2,2030,286.70000000000005
MISE_biomass_2,2040,193.70000000000002
MISE_biomass_2,2050,94.80000000000001
MISE_conventional_hydroelectric_1,2030,32.4
MISE_conventional_hydroelectric_1,2040,0.0
MISE_conventional_hydroelectric_1,2050,0.0
MISE_conventional_steam_coal_1,2030,3088.3
MISE_conventional_steam_coal_1,2040,2.3
MISE_conventional_steam_coal_1,2050,1.4
MISE_hydroelectric_pumped_storage_1,2030,2047.0
MISE_hydroelectric_pumped_storage_1,2040,2047.0
MISE_hydroelectric_pumped_storage_1,2050,2047.0
MISE_natural_gas_fired_combined_cycle_1,2030,6017.4
MISE_natural_gas_fired_combined_cycle_1,2040,6017.4
MISE_natural_gas_fired_combined_cycle_1,2050,5399.4
MISE_natural_gas_fired_combined_cycle_2,2030,743.7
MISE_natural_gas_fired_combined_cycle_2,2040,720.6999999999999
MISE_natural_gas_fired_combined_cycle_2,2050,709.1999999999999
MISE_natural_gas_fired_combustion_turbine_1,2030,3811.5
MISE_natural_gas_fired_combustion_turbine_1,2040,3811.5
MISE_natural_gas_fired_combustion_turbine_1,2050,2977.5
MISE_natural_gas_fired_combustion_turbine_2,2030,585.2
MISE_natural_gas_fired_combustion_turbine_2,2040,582.0
MISE_natural_gas_fired_combustion_turbine_2,2050,321.1
MISE_natural_gas_internal_combustion_engine_1,2030,133.0
MISE_natural_gas_internal_combustion_engine_1,2040,102.69999999999999
MISE_natural_gas_internal_combustion_engine_1,2050,84.1
MISE_natural_gas_steam_turbine_1,2030,57.8
MISE_natural_gas_steam_turbine_1,2040,56.8
MISE_natural_gas_steam_turbine_1,2050,32.199999999999996
MISE_nuclear_1,2030,1161.0
MISE_nuclear_1,2040,1161.0
MISE_nuclear_1,2050,1161.0
MISE_onshore_wind_turbine_1,2030,3706.2999999999997
MISE_onshore_wind_turbine_1,2040,3523.7
MISE_onshore_wind_turbine_1,2050,1519.2
MISE_petroleum_liquids_1,2030,51.300000000000004
MISE_petroleum_liquids_1,2040,35.2
MISE_petroleum_liquids_1,2050,0.0
MISE_small_hydroelectric_1,2030,16.2
MISE_small_hydroelectric_1,2040,15.299999999999999
MISE_small_hydroelectric_1,2050,12.899999999999999
MISE_solar_photovoltaic_1,2030,1181.5
MISE_solar_photovoltaic_1,2040,1181.5
MISE_solar_photovoltaic_1,2050,1085.3
MISS_batteries_1,2030,10.5
MISS_batteries_1,2040,0.0
MISS_batteries_1,2050,0.0
MISS_biomass_1,2030,226.90000000000003
MISS_biomass_1,2040,90.79999999999998
MISS_biomass_1,2050,48.6
MISS_biomass_2,2030,268.3
MISS_biomass_2,2040,143.3
MISS_biomass_2,2050,108.5
MISS_conventional_hydroelectric_1,2030,583.0999999999999
MISS_conventional_hydroelectric_1,2040,521.4
MISS_conventional_hydroelectric_1,2050,521.4
MISS_conventional_steam_coal_1,2030,5094.1
MISS_conventional_steam_coal_1,2040,5094.1
MISS_conventional_steam_coal_1,2050,680.0
MISS_conventional_steam_coal_2,2030,1017.0
MISS_conventional_steam_coal_2,2040,1017.0
MISS_conventional_steam_coal_2,2050,0.0
MISS_natural_gas_fired_combined_cycle_1,2030,18203.3
