gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_*_Moderate,SPPC,Electricity,2040,-246.552192035796,203790.7961782611,0.0,748.2493540907552,17786260.96715283,4610712.519907233,16.63526864834625,0.2078424872688625,1605.1574998908702,1358.6053078550742
Battery_*_Moderate,SPPC,Electricity,2050,-1194.2938516858749,987158.5118909911,0.0,3958.4805657768925,81485098.77646562,21122452.2989855,15.741348781296091,0.19030688169238427,7775.350597625816,6581.056745939941
Battery_*_Moderate,SPPN,Electricity,2030,-1.4245965411268055e-05,0.01177518080569716,0.0,3.417781699396182e-05,0.8158402198946543,0.2140214900161889,13.269056007351079,0.26291743091371306,9.274717078258246e-05,7.850120537131441e-05
Battery_*_Moderate,SPPN,Electricity,2040,-519.6291601816729,429505.977711785,0.0,1646.7196408156751,38674097.620545246,10147086.42670619,17.2002344253794,0.1990424288897344,3383.0023449269065,2863.3731847452336
Battery_*_Moderate,SPPN,Electricity,2050,-864.9725258936087,714953.8534242995,0.0,2716.5609597985444,55249881.18726174,14495569.281485032,14.782857100083772,0.20084206210288186,5631.331548722272,4766.359022828664
Battery_*_Moderate,SPPS,Electricity,2030,-1.3327033111111383e-05,0.011015625828592064,0.0,3.268708710008298e-05,0.7849935983510784,0.20468653942071963,13.626494479364842,0.25717519095578406,8.676453863505847e-05,7.343750552394709e-05
Battery_*_Moderate,SPPS,Electricity,2040,-0.000372614865493129,0.307989474779932,0.0,0.0009201267042591164,21.740906835249618,5.669820751644675,13.499836519485013,0.2554373238905047,0.0024258780306926756,0.0020532631651995464
Battery_*_Moderate,SPPS,Electricity,2050,-192.72182792144125,159296.6358855404,0.0,616.3605795050227,12611697.266670752,3288900.052238801,15.122630053218415,0.19722767948778142,1254.6994004917105,1061.9775725702693
Battery_*_Moderate,SRCA,Electricity,2030,-9.250698932280448e-06,0.007646280857437751,0.0,2.9950304771727725e-05,0.7467435578396341,0.18754880848055902,18.478368727354173,0.19482519322855943,6.022590464853213e-05,5.0975205716251683e-05
Battery_*_Moderate,SRCA,Electricity,2040,-2504.413776447525,2070054.5120743325,0.0,6864.223975382483,168382130.18040878,42297348.13630686,15.416226837591882,0.2301370023624019,16304.777190276407,13800.363413828883
Battery_*_Moderate,SRCA,Electricity,2050,-6052.749892333799,5002976.082946532,0.0,16324.857880839147,346789015.1840128,87109441.6521577,13.159210407236944,0.23387033253622808,39405.92377864401,33353.17388631022
Battery_*_Moderate,SRCE,Electricity,2030,-7.587412384744065e-06,0.006271470570272091,0.0,2.4704848219212847e-05,0.6118057365902664,0.15470175954871085,18.483200025820782,0.19372394933953355,4.939721618655801e-05,4.1809803801813947e-05
Battery_*_Moderate,SRCE,Electricity,2040,-1019.9150507565865,843023.5328397981,0.0,2984.172109341918,72706871.84908986,18388468.537764896,16.358682825257354,0.21558172694443495,6640.071936355241,5620.156885598654
Battery_*_Moderate,SRCE,Electricity,2050,-3731.304719304535,3084156.557057509,0.0,11251.297237745986,237391716.44393218,60036922.06061258,14.615639130280316,0.20918470790265448,24292.348433021267,20561.043713716725
