TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
13-6,2040,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.00000004398,4981.8000000417815,191091551.07166854
13-6,2050,PJMC,MISC,12,626.2046711986147,0.9533516120098756,0.95,5244.000000126893,4981.800000120548,191091551.07468984
13-16,2030,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,6292.400448244385,5977.780425832166,232047374.42920747
13-16,2040,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,8854.993140246619,8412.243483234288,326549132.6694196
13-16,2050,PJMC,PJMW,13,484.9526117173539,0.9263947470467947,0.95,8854.993140487411,8412.24348346304,326549132.67829937
6-19,2030,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,2321.9242976188825,2205.828082737938,121224943.71035296
6-19,2040,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,3618.7787857487037,3437.8398464612683,188932195.18503502
6-19,2050,MISC,SPPN,14,919.2234841721058,0.9410931721523927,0.95,4657.148695829474,4424.291261038,243144270.07014254
6-18,2030,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,8796.399726105574,8356.579739800294,368145236.7129017
6-18,2040,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,9175.085579790222,8716.33130080071,383993924.53808355
6-18,2050,MISC,SPPC,15,696.0754685319118,0.9481500944878907,0.95,10453.993811311137,9931.294120745579,437518546.91626567
6-20,2030,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,2450.070872623124,2327.5673289919678,142845657.96461383
6-20,2040,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,9162.938560690467,8704.791632655943,534223724.7977346
6-20,2050,MISC,SPPS,16,1164.3004320004338,0.9271267398789302,0.95,10973.191185227332,10424.531625965965,639766274.6576439
6-8,2030,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000006944,987.0500000065967,69279036.61000751
6-8,2040,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000021842,987.0500000207498,69279036.6110009
6-8,2050,MISC,MISS,17,1432.2313664952487,0.9118546781113521,0.95,1039.000000042407,987.0500000402866,69279036.61237215
