,Race,Cluster,Pollutant,Exposure
134,Asian,CANO_natural_gas_fired_combustion_turbine_1,VOC,6.231160537019238e-13
135,Asian,CANO_natural_gas_fired_combustion_turbine_2,NH3,1.1157794583249725e-10
136,Asian,CANO_natural_gas_fired_combustion_turbine_2,NOx,6.791597494897178e-11
137,Asian,CANO_natural_gas_fired_combustion_turbine_2,PM2_5,3.0796616870178994e-10
138,Asian,CANO_natural_gas_fired_combustion_turbine_2,SOx,2.1742577525538834e-12
139,Asian,CANO_natural_gas_fired_combustion_turbine_2,VOC,7.087467228992269e-12
140,Asian,CANO_natural_gas_internal_combustion_engine_1,NH3,0.0
141,Asian,CANO_natural_gas_internal_combustion_engine_1,NOx,3.520793535123216e-10
142,Asian,CANO_natural_gas_internal_combustion_engine_1,PM2_5,2.078156516024496e-09
143,Asian,CANO_natural_gas_internal_combustion_engine_1,SOx,1.3775863276602351e-11
144,Asian,CANO_natural_gas_internal_combustion_engine_1,VOC,2.798638254572921e-11
145,Asian,CANO_natural_gas_steam_turbine_1,NH3,5.1372603365042646e-11
146,Asian,CANO_natural_gas_steam_turbine_1,NOx,5.846838940851108e-10
147,Asian,CANO_natural_gas_steam_turbine_1,PM2_5,5.047874417725549e-10
148,Asian,CANO_natural_gas_steam_turbine_1,SOx,4.316157752715121e-12
149,Asian,CANO_natural_gas_steam_turbine_1,VOC,1.3440586211155855e-11
150,Asian,CANO_naturalgas_ccavgcf_moderate_0,NH3,6.945039686174491e-10
151,Asian,CANO_naturalgas_ccavgcf_moderate_0,NOx,1.73978433369955e-10
152,Asian,CANO_naturalgas_ccavgcf_moderate_0,PM2_5,2.192694935317383e-09
153,Asian,CANO_naturalgas_ccavgcf_moderate_0,SOx,2.108694182935366e-11
154,Asian,CANO_naturalgas_ccavgcf_moderate_0,VOC,1.6010308360054704e-11
155,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,NH3,7.818629462730957e-10
156,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,NOx,1.9586251467413028e-10
157,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,PM2_5,2.4685056109599347e-09
158,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,SOx,2.373938737441064e-11
159,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,VOC,1.802418361457023e-11
160,Asian,CANO_naturalgas_ctavgcf_moderate_0,NH3,2.7565515244282747e-09
161,Asian,CANO_naturalgas_ctavgcf_moderate_0,NOx,5.693807882486521e-10
162,Asian,CANO_naturalgas_ctavgcf_moderate_0,PM2_5,1.6560040504232403e-09
163,Asian,CANO_naturalgas_ctavgcf_moderate_0,SOx,1.9329554406739238e-11
164,Asian,CANO_naturalgas_ctavgcf_moderate_0,VOC,2.181200446850514e-11
165,Asian,CANO_onshore_wind_turbine_1,NH3,0.0
166,Asian,CANO_onshore_wind_turbine_1,NOx,0.0
167,Asian,CANO_onshore_wind_turbine_1,PM2_5,0.0
168,Asian,CANO_onshore_wind_turbine_1,SOx,0.0
169,Asian,CANO_onshore_wind_turbine_1,VOC,0.0
170,Asian,CANO_petroleum_liquids_1,NH3,5.797368077776319e-10
171,Asian,CANO_petroleum_liquids_1,NOx,2.4962389965453424e-10
172,Asian,CANO_petroleum_liquids_1,PM2_5,1.5500664506821133e-09
173,Asian,CANO_petroleum_liquids_1,SOx,1.7812801335138435e-11
174,Asian,CANO_petroleum_liquids_1,VOC,2.5094001553826447e-12
175,Asian,CANO_small_hydroelectric_1,NH3,0.0
176,Asian,CANO_small_hydroelectric_1,NOx,0.0
177,Asian,CANO_small_hydroelectric_1,PM2_5,0.0
178,Asian,CANO_small_hydroelectric_1,SOx,0.0
179,Asian,CANO_small_hydroelectric_1,VOC,0.0
180,Asian,CANO_solar_photovoltaic_1,NH3,0.0
181,Asian,CANO_solar_photovoltaic_1,NOx,0.0
182,Asian,CANO_solar_photovoltaic_1,PM2_5,0.0
183,Asian,CANO_solar_photovoltaic_1,SOx,0.0
184,Asian,CANO_solar_photovoltaic_1,VOC,0.0
185,Asian,CASO_batteries_1,NH3,0.0
186,Asian,CASO_batteries_1,NOx,0.0
187,Asian,CASO_batteries_1,PM2_5,0.0
188,Asian,CASO_batteries_1,SOx,0.0
189,Asian,CASO_batteries_1,VOC,0.0
190,Asian,CASO_biomass_1,NH3,4.36967818157712e-10
191,Asian,CASO_biomass_1,NOx,3.765939663084509e-10
192,Asian,CASO_biomass_1,PM2_5,1.4763306903077467e-09
193,Asian,CASO_biomass_1,SOx,1.2138176636384567e-09
194,Asian,CASO_biomass_1,VOC,2.2782604147039938e-11
195,Asian,CASO_biomass_2,NH3,2.5285791920947634e-10
196,Asian,CASO_biomass_2,NOx,2.4393614882568674e-10
197,Asian,CASO_biomass_2,PM2_5,9.729047994309617e-10
198,Asian,CASO_biomass_2,SOx,6.826926377665894e-10
199,Asian,CASO_biomass_2,VOC,1.4832735149927104e-11
200,Asian,CASO_conventional_hydroelectric_1,NH3,0.0
201,Asian,CASO_conventional_hydroelectric_1,NOx,0.0
202,Asian,CASO_conventional_hydroelectric_1,PM2_5,0.0
203,Asian,CASO_conventional_hydroelectric_1,SOx,0.0
204,Asian,CASO_conventional_hydroelectric_1,VOC,0.0
205,Asian,CASO_conventional_steam_coal_1,NH3,1.4622850561157227e-12
206,Asian,CASO_conventional_steam_coal_1,NOx,2.5656736249779963e-11
207,Asian,CASO_conventional_steam_coal_1,PM2_5,3.3247816258444764e-11
208,Asian,CASO_conventional_steam_coal_1,SOx,1.6949202619993076e-10
209,Asian,CASO_conventional_steam_coal_1,VOC,2.540571353979773e-13
210,Asian,CASO_hydroelectric_pumped_storage_1,NH3,0.0
211,Asian,CASO_hydroelectric_pumped_storage_1,NOx,0.0
212,Asian,CASO_hydroelectric_pumped_storage_1,PM2_5,0.0
213,Asian,CASO_hydroelectric_pumped_storage_1,SOx,0.0
214,Asian,CASO_hydroelectric_pumped_storage_1,VOC,0.0
215,Asian,CASO_natural_gas_fired_combined_cycle_1,NH3,2.6368326613641664e-10
216,Asian,CASO_natural_gas_fired_combined_cycle_1,NOx,9.70408306060741e-11
217,Asian,CASO_natural_gas_fired_combined_cycle_1,PM2_5,8.946233506946559e-10
218,Asian,CASO_natural_gas_fired_combined_cycle_1,SOx,1.1585416893553778e-11
219,Asian,CASO_natural_gas_fired_combined_cycle_1,VOC,5.785352855408176e-12
220,Asian,CASO_natural_gas_fired_combined_cycle_2,NH3,1.1405930770756478e-10
221,Asian,CASO_natural_gas_fired_combined_cycle_2,NOx,1.3254065794244001e-11
222,Asian,CASO_natural_gas_fired_combined_cycle_2,PM2_5,1.1024807124961186e-10
223,Asian,CASO_natural_gas_fired_combined_cycle_2,SOx,3.890160192721822e-12
224,Asian,CASO_natural_gas_fired_combined_cycle_2,VOC,1.839770448473169e-12
225,Asian,CASO_natural_gas_fired_combustion_turbine_1,NH3,1.5710190861674674e-10
226,Asian,CASO_natural_gas_fired_combustion_turbine_1,NOx,5.5226323614710215e-11
227,Asian,CASO_natural_gas_fired_combustion_turbine_1,PM2_5,5.458085244604903e-10
228,Asian,CASO_natural_gas_fired_combustion_turbine_1,SOx,3.976495535069987e-12
229,Asian,CASO_natural_gas_fired_combustion_turbine_1,VOC,3.664635962576281e-12
230,Asian,CASO_natural_gas_fired_combustion_turbine_2,NH3,2.2960985935997453e-10
231,Asian,CASO_natural_gas_fired_combustion_turbine_2,NOx,5.881155511284747e-11
232,Asian,CASO_natural_gas_fired_combustion_turbine_2,PM2_5,3.8352265390707937e-10
233,Asian,CASO_natural_gas_fired_combustion_turbine_2,SOx,5.629997047825787e-12
234,Asian,CASO_natural_gas_fired_combustion_turbine_2,VOC,4.465847924678946e-12
235,Asian,CASO_natural_gas_internal_combustion_engine_1,NH3,0.0
236,Asian,CASO_natural_gas_internal_combustion_engine_1,NOx,5.373732668134254e-10
237,Asian,CASO_natural_gas_internal_combustion_engine_1,PM2_5,3.0024418948630827e-09
238,Asian,CASO_natural_gas_internal_combustion_engine_1,SOx,5.891833326656222e-11
239,Asian,CASO_natural_gas_internal_combustion_engine_1,VOC,4.317035236907718e-11
240,Asian,CASO_natural_gas_steam_turbine_1,NH3,3.449792923647402e-10
241,Asian,CASO_natural_gas_steam_turbine_1,NOx,1.2120523964328218e-09
242,Asian,CASO_natural_gas_steam_turbine_1,PM2_5,1.8498258049879385e-09
243,Asian,CASO_natural_gas_steam_turbine_1,SOx,6.827841632284095e-11
244,Asian,CASO_natural_gas_steam_turbine_1,VOC,3.6385773808503895e-11
245,Asian,CASO_naturalgas_ccavgcf_moderate_0,NH3,6.945039686174491e-10
246,Asian,CASO_naturalgas_ccavgcf_moderate_0,NOx,1.73978433369955e-10
247,Asian,CASO_naturalgas_ccavgcf_moderate_0,PM2_5,2.192694935317383e-09
248,Asian,CASO_naturalgas_ccavgcf_moderate_0,SOx,2.108694182935366e-11
249,Asian,CASO_naturalgas_ccavgcf_moderate_0,VOC,1.6010308360054704e-11
250,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,NH3,7.818629462730957e-10
251,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,NOx,1.9586251467413028e-10
252,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,PM2_5,2.4685056109599347e-09
253,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,SOx,2.373938737441064e-11
254,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,VOC,1.802418361457023e-11
255,Asian,CASO_naturalgas_ctavgcf_moderate_0,NH3,2.7565515244282747e-09
256,Asian,CASO_naturalgas_ctavgcf_moderate_0,NOx,5.693807882486521e-10
257,Asian,CASO_naturalgas_ctavgcf_moderate_0,PM2_5,1.6560040504232403e-09
258,Asian,CASO_naturalgas_ctavgcf_moderate_0,SOx,1.9329554406739238e-11
259,Asian,CASO_naturalgas_ctavgcf_moderate_0,VOC,2.181200446850514e-11
260,Asian,CASO_onshore_wind_turbine_1,NH3,0.0
261,Asian,CASO_onshore_wind_turbine_1,NOx,0.0
262,Asian,CASO_onshore_wind_turbine_1,PM2_5,0.0
263,Asian,CASO_onshore_wind_turbine_1,SOx,0.0
264,Asian,CASO_onshore_wind_turbine_1,VOC,0.0
265,Asian,CASO_petroleum_liquids_1,NH3,2.8205593386321043e-10
266,Asian,CASO_petroleum_liquids_1,NOx,1.1636893409954286e-10
267,Asian,CASO_petroleum_liquids_1,PM2_5,4.992127743056549e-10
268,Asian,CASO_petroleum_liquids_1,SOx,2.1576294699901302e-11
269,Asian,CASO_petroleum_liquids_1,VOC,7.981552580756742e-13
270,Asian,CASO_small_hydroelectric_1,NH3,0.0
271,Asian,CASO_small_hydroelectric_1,NOx,0.0
272,Asian,CASO_small_hydroelectric_1,PM2_5,0.0
273,Asian,CASO_small_hydroelectric_1,SOx,0.0
274,Asian,CASO_small_hydroelectric_1,VOC,0.0
275,Asian,CASO_solar_photovoltaic_1,NH3,0.0
276,Asian,CASO_solar_photovoltaic_1,NOx,0.0
277,Asian,CASO_solar_photovoltaic_1,PM2_5,0.0
278,Asian,CASO_solar_photovoltaic_1,SOx,0.0
279,Asian,CASO_solar_photovoltaic_1,VOC,0.0
280,Asian,FRCC_batteries_1,NH3,0.0
281,Asian,FRCC_batteries_1,NOx,0.0
282,Asian,FRCC_batteries_1,PM2_5,0.0
283,Asian,FRCC_batteries_1,SOx,0.0
