,Race,Cluster,Pollutant,Exposure,year
169,Asian,CASO_conventional_hydroelectric_1,VOC,0.0,2050
170,Asian,CASO_hydroelectric_pumped_storage_1,NH3,0.0,2050
171,Asian,CASO_hydroelectric_pumped_storage_1,NOx,0.0,2050
172,Asian,CASO_hydroelectric_pumped_storage_1,PM2_5,0.0,2050
173,Asian,CASO_hydroelectric_pumped_storage_1,SOx,0.0,2050
174,Asian,CASO_hydroelectric_pumped_storage_1,VOC,0.0,2050
175,Asian,CASO_natural_gas_fired_combined_cycle_1,NH3,2.2724382620275304e-10,2050
176,Asian,CASO_natural_gas_fired_combined_cycle_1,NOx,8.08077940366133e-11,2050
177,Asian,CASO_natural_gas_fired_combined_cycle_1,PM2_5,8.322534941087194e-10,2050
178,Asian,CASO_natural_gas_fired_combined_cycle_1,SOx,1.2050233676791878e-11,2050
179,Asian,CASO_natural_gas_fired_combined_cycle_1,VOC,5.075340106042067e-12,2050
180,Asian,CASO_natural_gas_fired_combined_cycle_2,NH3,1.1392609171354375e-10,2050
181,Asian,CASO_natural_gas_fired_combined_cycle_2,NOx,1.3254065794244001e-11,2050
182,Asian,CASO_natural_gas_fired_combined_cycle_2,PM2_5,1.1024807124961186e-10,2050
183,Asian,CASO_natural_gas_fired_combined_cycle_2,SOx,3.890160192721822e-12,2050
184,Asian,CASO_natural_gas_fired_combined_cycle_2,VOC,1.8385936903889576e-12,2050
185,Asian,CASO_natural_gas_fired_combustion_turbine_1,NH3,1.264119955224428e-10,2050
186,Asian,CASO_natural_gas_fired_combustion_turbine_1,NOx,5.0888667344285e-11,2050
187,Asian,CASO_natural_gas_fired_combustion_turbine_1,PM2_5,6.326962984949504e-10,2050
188,Asian,CASO_natural_gas_fired_combustion_turbine_1,SOx,3.856847370331615e-12,2050
189,Asian,CASO_natural_gas_fired_combustion_turbine_1,VOC,3.740582543691856e-12,2050
190,Asian,CASO_natural_gas_fired_combustion_turbine_2,NH3,2.088675447703665e-10,2050
191,Asian,CASO_natural_gas_fired_combustion_turbine_2,NOx,5.30571870115991e-11,2050
192,Asian,CASO_natural_gas_fired_combustion_turbine_2,PM2_5,3.8329656155385546e-10,2050
193,Asian,CASO_natural_gas_fired_combustion_turbine_2,SOx,5.417478066515222e-12,2050
194,Asian,CASO_natural_gas_fired_combustion_turbine_2,VOC,4.582345948966279e-12,2050
195,Asian,CASO_natural_gas_internal_combustion_engine_1,NH3,0.0,2050
196,Asian,CASO_natural_gas_internal_combustion_engine_1,NOx,5.091838487263306e-10,2050
197,Asian,CASO_natural_gas_internal_combustion_engine_1,PM2_5,2.7951610847766313e-09,2050
198,Asian,CASO_natural_gas_internal_combustion_engine_1,SOx,5.814110345718005e-11,2050
199,Asian,CASO_natural_gas_internal_combustion_engine_1,VOC,4.0386943136687055e-11,2050
200,Asian,CASO_naturalgas_ccavgcf_moderate_0,NH3,9.443793186380871e-11,2050
201,Asian,CASO_naturalgas_ccavgcf_moderate_0,NOx,2.765538928433718e-11,2050
202,Asian,CASO_naturalgas_ccavgcf_moderate_0,PM2_5,3.467490282195151e-10,2050
203,Asian,CASO_naturalgas_ccavgcf_moderate_0,SOx,4.8117722468287215e-12,2050
204,Asian,CASO_naturalgas_ccavgcf_moderate_0,VOC,3.3062184359702703e-12,2050
205,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,NH3,1.0631691739956482e-10,2050
206,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,NOx,3.1134054690815734e-11,2050
207,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,PM2_5,3.903652519858698e-10,2050
208,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,SOx,5.417026585858599e-12,2050
209,Asian,CASO_naturalgas_ccccsavgcf_conservative_0,VOC,3.722094978948023e-12,2050
210,Asian,CASO_naturalgas_ctavgcf_moderate_0,NH3,1.5915353562359786e-10,2050
211,Asian,CASO_naturalgas_ctavgcf_moderate_0,NOx,7.303611606417327e-11,2050
212,Asian,CASO_naturalgas_ctavgcf_moderate_0,PM2_5,2.1132405318241507e-10,2050
213,Asian,CASO_naturalgas_ctavgcf_moderate_0,SOx,3.5592935525900256e-12,2050
214,Asian,CASO_naturalgas_ctavgcf_moderate_0,VOC,3.6044656170810734e-12,2050
215,Asian,CASO_onshore_wind_turbine_1,NH3,0.0,2050
216,Asian,CASO_onshore_wind_turbine_1,NOx,0.0,2050
217,Asian,CASO_onshore_wind_turbine_1,PM2_5,0.0,2050
218,Asian,CASO_onshore_wind_turbine_1,SOx,0.0,2050
219,Asian,CASO_onshore_wind_turbine_1,VOC,0.0,2050
